name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides stercoris	46506	S	546096	208948	755044	0.05140
Bacteroides uniformis	820	S	475991	393239	869230	0.05917
Bacteroides eggerthii	28111	S	263545	80343	343888	0.02341
Bacteroides faecis	674529	S	124155	38200	162355	0.01105
Bacteroides caccae	47678	S	117386	18906	136292	0.00928
Bacteroides ovatus	28116	S	97896	195633	293529	0.01998
Bacteroides thetaiotaomicron	818	S	47162	9648	56810	0.00387
Bacteroides xylanisolvens	371601	S	31308	74313	105621	0.00719
Bacteroides cellulosilyticus	246787	S	25381	12425	37806	0.00257
Bacteroides sp. A1C1	2528203	S	5664	24386	30050	0.00205
Bacteroides sp. CACC 737	2755405	S	1835	6483	8318	0.00057
Bacteroides sp. HF-162	2785531	S	1336	9785	11121	0.00076
Bacteroides sp. KG68	3397824	S	402	48559	48961	0.00333
Bacteroides sp. M10	2763022	S	398	307	705	0.00005
Bacteroides sp. D2	556259	S	261	313	574	0.00004
Bacteroides sp. DH3716P	2847299	S	126	1137	1263	0.00009
Bacteroides sp. KG123	3369153	S	59	4118	4177	0.00028
Bacteroides sp. KG122	3397827	S	18	16757	16775	0.00114
Bacteroides sp. PHL 2737	2162637	S	16	4466	4482	0.00031
Bacteroides sp. BFG-257	2972761	S	10	491	501	0.00003
Bacteroides fragilis	817	S	16918	13653	30571	0.00208
Bacteroides intestinalis	329854	S	12581	1399	13980	0.00095
Bacteroides salyersiae	291644	S	10423	1340	11763	0.00080
Bacteroides zhangwenhongii	2650157	S	9116	9651	18767	0.00128
Bacteroides caecimuris	1796613	S	6872	2909	9781	0.00067
Bacteroides hominis	2763023	S	5903	31250	37153	0.00253
Bacteroides pyogenes	310300	S	3541	333	3874	0.00026
Bacteroides maternus	3117552	S	2710	856	3566	0.00024
Bacteroides zoogleoformans	28119	S	2402	464	2866	0.00020
Bacteroides parvus	2763025	S	2188	13471	15659	0.00107
Bacteroides helcogenes	290053	S	1938	56	1994	0.00014
Bacteroides faecium	2715212	S	1583	80	1663	0.00011
Bacteroides finegoldii	338188	S	1323	1127	2450	0.00017
Bacteroides sedimenti	2136147	S	1139	14	1153	0.00008
Prevotella heparinolytica	28113	S	1102	241	1343	0.00009
Bacteroides nordii	291645	S	1070	256	1326	0.00009
Bacteroides celer	2025659	S	810	896	1706	0.00012
Bacteroides graminisolvens	477666	S	705	8	713	0.00005
uncultured Bacteroides sp.	162156	S	612	8	620	0.00004
Bacteroides difficilis	2763021	S	557	568	1125	0.00008
Bacteroides mucinivorans	3096000	S	485	110	595	0.00004
Bacteroides luhongzhouii	2650158	S	340	87	427	0.00003
Phocaeicola vulgatus	821	S	366563	196721	563284	0.03835
Phocaeicola dorei	357276	S	74982	41329	116311	0.00792
Phocaeicola coprophilus	387090	S	48706	13967	62673	0.00427
Phocaeicola salanitronis	376805	S	30490	2283	32773	0.00223
Phocaeicola coprocola	310298	S	5440	332556	337996	0.02301
Alistipes putredinis	28117	S	436771	105708	542479	0.03693
Alistipes onderdonkii	328813	S	415190	73968	489158	0.03330
Alistipes shahii	328814	S	141507	76525	218032	0.01484
Alistipes communis	2585118	S	128437	13896	142333	0.00969
Alistipes senegalensis	1288121	S	81594	13596	95190	0.00648
Alistipes ihumii	1470347	S	25641	354	25995	0.00177
Alistipes dispar	2585119	S	21959	2240	24199	0.00165
Alistipes finegoldii	214856	S	17108	5799	22907	0.00156
uncultured Alistipes sp.	538949	S	14786	874	15660	0.00107
Alistipes sp. dk3624	2662363	S	7006	425	7431	0.00051
Alistipes sp. i18-0019-D1	3132707	S	2728	660	3388	0.00023
Alistipes indistinctus	626932	S	2689	146	2835	0.00019
uncultured Acetobacteroides sp.	1760811	S	158	1	159	0.00001
Butyricimonas paravirosa	1472417	S	69322	28418	97740	0.00665
Butyricimonas virosa	544645	S	43496	6163	49659	0.00338
Butyricimonas faecihominis	1472416	S	12155	3941	16096	0.00110
Butyricimonas faecalis	2093856	S	4544	1545	6089	0.00041
Odoribacter splanchnicus	28118	S	131448	25292	156740	0.01067
Parabacteroides absconsus	2951805	S	97321	10863	108184	0.00736
Parabacteroides distasonis	823	S	56814	50307	107121	0.00729
Parabacteroides merdae	46503	S	37811	10614	48425	0.00330
Parabacteroides goldsteinii	328812	S	22109	2656	24765	0.00169
Parabacteroides chongii	2685834	S	2923	296	3219	0.00022
Parabacteroides sp. ASD2025	3415987	S	1281	174	1455	0.00010
Parabacteroides sp. APC149_11_2_Y6	3372857	S	995	88	1083	0.00007
Parabacteroides sp. CT06	2025876	S	345	8084	8429	0.00057
Parabacteroides johnsonii	387661	S	2191	406	2597	0.00018
Parabacteroides faecis	1217282	S	1390	134	1524	0.00010
Tannerella forsythia	28112	S	468	45	513	0.00003
Tannerella serpentiformis	712710	S	349	5	354	0.00002
Paraprevotella clara	454154	S	52056	8148	60204	0.00410
Paraprevotella xylaniphila	454155	S	34838	8040	42878	0.00292
