name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Segatella copri	165179	S	37686	4162	41848	0.00285
Segatella hominis	2518605	S	717	280	997	0.00007
Segatella oris	28135	S	523	30	553	0.00004
Segatella baroniae	305719	S	54	328	382	0.00003
Segatella bryantii	77095	S	44	151	195	0.00001
Prevotella sp. oral taxon 475	712471	S	1427	207	1634	0.00011
Prevotella sp. E13-17	2913616	S	816	287	1103	0.00008
Prevotella sp. Rep29	2691580	S	791	63	854	0.00006
Prevotella sp. E2-28	2913620	S	751	249	1000	0.00007
Prevotella sp. E9-3	2913621	S	569	184	753	0.00005
Prevotella sp. E15-22	2937774	S	511	215	726	0.00005
Prevotella sp. oral taxon 299	652716	S	464	159	623	0.00004
Prevotella sp.	59823	S	53	58	111	0.00001
Prevotella denticola	28129	S	2533	4335	6868	0.00047
Prevotella dentalis	52227	S	2348	695	3043	0.00021
Prevotella melaninogenica	28132	S	1227	1940	3167	0.00022
Prevotella communis	2913614	S	1213	319	1532	0.00010
Prevotella nigrescens	28133	S	1095	2095	3190	0.00022
Prevotella intermedia	28131	S	1077	1523	2600	0.00018
Prevotella fusca	589436	S	811	900	1711	0.00012
Prevotella jejuni	1177574	S	790	1548	2338	0.00016
Prevotella corporis	28128	S	729	266	995	0.00007
Prevotella veroralis	28137	S	225	227	452	0.00003
Prevotella multiformis	282402	S	214	513	727	0.00005
Prevotella histicola	470565	S	181	106	287	0.00002
Prevotella herbatica	2801997	S	146	157	303	0.00002
Prevotella scopos	589437	S	144	383	527	0.00004
Prevotella bivia	28125	S	139	55	194	0.00001
Hoylesella enoeca	76123	S	1670	155	1825	0.00012
Hoylesella buccalis	28127	S	1596	98409	100005	0.00681
Xylanibacter ruminicola	839	S	2026	27	2053	0.00014
Pseudoprevotella muciniphila	2133944	S	508	4	512	0.00003
Barnesiella intestinihominis	487174	S	100711	8033	108744	0.00740
Barnesiella sp. An22	1965590	S	19752	2441	22193	0.00151
Barnesiella viscericola	397865	S	6309	1228	7537	0.00051
Coprobacter secundus	1501392	S	8886	1241	10127	0.00069
Coprobacter fastidiosus	1099853	S	2204	63	2267	0.00015
Muribaculum intestinale	1796646	S	1548	230	1778	0.00012
Muribaculum gordoncarteri	2530390	S	995	366	1361	0.00009
Sodaliphilus pleomorphus	2606626	S	1764	94	1858	0.00013
Duncaniella dubosii	2518971	S	320	75	395	0.00003
Duncaniella freteri	2530391	S	42	202	244	0.00002
Paramuribaculum intestinale	2094151	S	944	172	1116	0.00008
Porphyromonas gingivalis	837	S	952	131	1083	0.00007
Porphyromonas sp. oral taxon 275	712435	S	770	21	791	0.00005
Porphyromonas pogonae	867595	S	418	28	446	0.00003
Porphyromonas levii	28114	S	345	27	372	0.00003
Porphyromonas crevioricanis	393921	S	306	31	337	0.00002
Porphyromonas cangingivalis	36874	S	158	23	181	0.00001
Porphyromonas endodontalis	28124	S	133	13	146	0.00001
Porphyromonas asaccharolytica	28123	S	39	4	43	0.00000
Porphyromonas somerae	322095	S	35	7	42	0.00000
Macellibacteroides fermentans	879969	S	486	8	494	0.00003
Petrimonas mucosa	1642646	S	530	41	571	0.00004
Petrimonas sulfuriphila	285070	S	32	80	112	0.00001
Proteiniphilum saccharofermentans	1642647	S	215	4	219	0.00001
Proteiniphilum propionicum	2829812	S	110	4	114	0.00001
Dysgonomonas sp. HDW5A	2714926	S	160	31	191	0.00001
Dysgonomonas sp. HDW5B	2714927	S	37	6	43	0.00000
Limibacterium fermenti	3229863	S	185	2	187	0.00001
Indolivaga capnocytophagoides	45254	S	146	5	151	0.00001
Paludibacter propionicigenes	185300	S	96	0	96	0.00001
Candidatus Azobacteroides pseudotrichonymphae	511435	S	27	0	27	0.00000
Salinivirga cyanobacteriivorans	1307839	S	22	0	22	0.00000
Tenuifilum thalassicum	2590900	S	19	0	19	0.00000
uncultured Draconibacterium sp.	1573823	S	591	20	611	0.00004
Draconibacterium halophilum	2706887	S	81	3	84	0.00001
Draconibacterium orientale	1168034	S	43	2	45	0.00000
Mangrovibacterium marinum	1639118	S	357	22	379	0.00003
Aquipluma nitroreducens	2010828	S	167	1	168	0.00001
Gaoshiqia hydrogeniformans	3290090	S	97	2	99	0.00001
Halosquirtibacter laminarini	3374600	S	28	3	31	0.00000
Halosquirtibacter xylanolyticus	3374599	S	12	0	12	0.00000
Maribellus comscasis	2681766	S	36	1	37	0.00000
Marinifilum fragile	570161	S	214	10	224	0.00002
Labilibaculum antarcticum	1717717	S	37	5	42	0.00000
Labilibaculum euxinicum	2686357	S	20	44	64	0.00000
Xiashengella succiniciproducens	2949635	S	268	9	277	0.00002
Alkalitalea saponilacus	889453	S	31	0	31	0.00000
Flavobacterium sp. 25HG05S-40	3458682	S	33	9	42	0.00000
Flavobacterium sp. W1B	3394146	S	31	21	52	0.00000
Flavobacterium sp. KACC 22758	3025667	S	29	141	170	0.00001
Flavobacterium sp.	239	S	15	17	32	0.00000
Flavobacterium sp. xlx-214	2654325	S	14	4	18	0.00000
Flavobacterium sp. N2820	2986834	S	11	12	23	0.00000
Flavobacterium sp. CS20	2775246	S	11	3	14	0.00000
Flavobacterium sp. KACC 22761	3092665	S	10	45	55	0.00000
Flavobacterium arcticum	1784713	S	170	27	197	0.00001
Flavobacterium acetivorans	2893883	S	157	47	204	0.00001
Flavobacterium faecale	1355330	S	123	35	158	0.00001
Flavobacterium alkalisoli	2602769	S	100	9	109	0.00001
Flavobacterium gilvum	1492737	S	44	9	53	0.00000
Flavobacterium gelatinilyticum	3003260	S	25	11	36	0.00000
Flavobacterium pectinovorum	29533	S	24	11	35	0.00000
Flavobacterium cerinum	2502784	S	24	4	28	0.00000
Flavobacterium cyclinae	2895947	S	21	10	31	0.00000
Flavobacterium flavipigmentatum	2893884	S	21	7	28	0.00000
Flavobacterium bizetiae	2704140	S	20	12	32	0.00000
Flavobacterium pallidum	2172098	S	20	1	21	0.00000
Flavobacterium cupriresistens	2893885	S	19	5	24	0.00000
Flavobacterium azooxidireducens	1871076	S	19	2	21	0.00000
Flavobacterium kingsejongi	1678728	S	18	3	21	0.00000
Flavobacterium gyeonganense	1310418	S	18	21	39	0.00000
Flavobacterium tructae	1114873	S	17	41	58	0.00000
Flavobacterium nakdongense	3073563	S	17	4	21	0.00000
Flavobacterium psychrophilum	96345	S	16	3	19	0.00000
Flavobacterium album	2175091	S	15	0	15	0.00000
Flavobacterium inviolabile	2748320	S	13	2	15	0.00000
Flavobacterium aquiphilum	3003261	S	13	2	15	0.00000
Flavobacterium endoglycinae	2816357	S	13	6	19	0.00000
Flavobacterium humidisoli	2937442	S	13	14	27	0.00000
Flavobacterium marginilacus	3003256	S	12	2	14	0.00000
Flavobacterium ammonificans	1751056	S	11	3	14	0.00000
Capnocytophaga haemolytica	45243	S	76	17	93	0.00001
Capnocytophaga sputigena	1019	S	53	98	151	0.00001
Capnocytophaga granulosa	45242	S	29	6	35	0.00000
Capnocytophaga sp. ARDL2	3238809	S	12	5	17	0.00000
Capnocytophaga sp. oral taxon 878	1316596	S	11	9	20	0.00000
Capnocytophaga canimorsus	28188	S	14	15	29	0.00000
Maribacter sp. HTCC2170	313603	S	49	5	54	0.00000
Maribacter sp. MJ134	2496865	S	45	17	62	0.00000
Maribacter sp. IgM3_T14_3	3415140	S	40	22	62	0.00000
Maribacter sp. X9	3402159	S	13	2	15	0.00000
Maribacter hydrothermalis	1836467	S	93	46	139	0.00001
Maribacter halichondriae	2980554	S	19	1	20	0.00000
Maribacter litopenaei	2976127	S	12	2	14	0.00000
Winogradskyella sp. PC D3.3	3479081	S	96	36	132	0.00001
Winogradskyella sp. HB-48	3416808	S	61	13	74	0.00001
Winogradskyella sp. MIT101101	3098297	S	21	13	34	0.00000
Winogradskyella sp. R77965	3093872	S	11	2	13	0.00000
Winogradskyella ouciana	2608631	S	29	19	48	0.00000
Winogradskyella sediminis	1382466	S	12	5	17	0.00000
Flagellimonas sp.	2058762	S	25	70	95	0.00001
Flagellimonas aurea	2915619	S	65	25	90	0.00001
Flagellimonas ulvae	3410790	S	36	3	39	0.00000
Flagellimonas alvinocaridis	2530200	S	20	5	25	0.00000
Polaribacter sp. L3A8	2686361	S	28	12	40	0.00000
Polaribacter sp. KT 15	1896175	S	19	22	41	0.00000
Polaribacter gangjinensis	574710	S	57	22	79	0.00001
Polaribacter butkevichii	218490	S	20	16	36	0.00000
Polaribacter huanghezhanensis	1354726	S	11	3	14	0.00000
Polaribacter reichenbachii	996801	S	10	3	13	0.00000
Gramella sp. MAR_2010_147	1250205	S	77	11	88	0.00001
Christiangramia echinicola	279359	S	31	3	34	0.00000
Christiangramia forsetii	411153	S	17	4	21	0.00000
Christiangramia salexigens	1913577	S	15	1	16	0.00000
Christiangramia fulva	2126553	S	12	1	13	0.00000
Nonlabens spongiae	331648	S	85	29	114	0.00001
Nonlabens ponticola	2496866	S	33	5	38	0.00000
Nonlabens ulvanivorans	906888	S	13	3	16	0.00000
Tenacibaculum polynesiense	3137857	S	18	15	33	0.00000
Tenacibaculum platacis	3137852	S	16	15	31	0.00000
Tenacibaculum jejuense	584609	S	16	29	45	0.00000
Algibacter sp. L1A34	2686365	S	55	29	84	0.00001
Algibacter lectus	221126	S	57	36	93	0.00001
Amniculibacterium sp. G2-70	2767188	S	118	78	196	0.00001
Arenibacter algicola	616991	S	101	39	140	0.00001
Arenibacter antarcticus	2040469	S	11	1	12	0.00000
Robiginitalea biformata	252307	S	69	2	71	0.00000
Robiginitalea sp. IMCC43444	3459121	S	28	1	29	0.00000
Aquimarina besae	3342247	S	36	8	44	0.00000
Leeuwenhoekiella sp. H156	3450128	S	19	51	70	0.00000
Cellulophaga sp. L1A9	2686362	S	29	18	47	0.00000
Cellulophaga omnivescoria	1888890	S	11	9	20	0.00000
Antarcticibacterium sp. 1MA-6-2	2908210	S	51	7	58	0.00000
Antarcticibacterium flavum	2058175	S	19	4	23	0.00000
Seonamhaeicola sp. ML3	2937786	S	54	12	66	0.00000
Seonamhaeicola sp. MEBiC01930	2976768	S	12	3	15	0.00000
Myroides albus	2562892	S	30	21	51	0.00000
Salegentibacter agarivorans	345907	S	19	33	52	0.00000
Pukyongia salina	2094025	S	59	5	64	0.00000
Lacinutrix sp. WUR7	2653681	S	29	18	47	0.00000
Aequorivita marisscotiae	3040348	S	12	12	24	0.00000
Aequorivita sublithincola	101385	S	11	8	19	0.00000
Aestuariibaculum sp. YM273	3070659	S	35	10	45	0.00000
Zobellia galactanivorans	63186	S	33	3	36	0.00000
Allomuricauda sp. SCSIO 65647	2908843	S	24	1	25	0.00000
Allomuricauda sp. SCSIO 64092	2908842	S	17	0	17	0.00000
Kordia antarctica	1218801	S	27	3	30	0.00000
Hwangdonia lutea	3075823	S	31	11	42	0.00000
Pseudalgibacter alginicilyticus	1736674	S	30	14	44	0.00000
Olleya sp. YS	3028318	S	26	12	38	0.00000
Rasiella rasia	2744027	S	17	4	21	0.00000
Rasiella sp. SM2506	3423914	S	10	1	11	0.00000
Sinomicrobium kalidii	2900738	S	28	1	29	0.00000
Pseudotamlana carrageenivorans	2069432	S	23	30	53	0.00000
Flavivirga eckloniae	1803846	S	20	4	24	0.00000
Daejeonia sp. YH14	3439042	S	20	9	29	0.00000
Bizionia sp. M204	2675331	S	18	6	24	0.00000
Aureibaculum algae	2584122	S	15	3	18	0.00000
Paenimyroides ceti	395087	S	13	2	15	0.00000
Pontimicrobium sp. SW4	3153519	S	13	3	16	0.00000
Ulvibacterium sp.	2665914	S	12	0	12	0.00000
Vaginella massiliensis	1816680	S	12	7	19	0.00000
Candidatus Arcticimaribacter forsetii	2820661	S	10	1	11	0.00000
Chryseobacterium sp. G0186	2487064	S	68	30	98	0.00001
Chryseobacterium sp.	1871047	S	58	17	75	0.00001
Chryseobacterium sp. MA9	2966625	S	21	28	49	0.00000
Chryseobacterium sp. 6424	2039166	S	15	2	17	0.00000
Chryseobacterium sp. G0201	2487065	S	14	4	18	0.00000
Chryseobacterium sp. JJR-5R	3093923	S	11	1	12	0.00000
Chryseobacterium oryzae	2929799	S	122	31	153	0.00001
Chryseobacterium indoltheticum	254	S	73	25	98	0.00001
Chryseobacterium joostei	112234	S	69	22	91	0.00001
Chryseobacterium indologenes	253	S	47	14	61	0.00000
Chryseobacterium glaciei	1685010	S	36	9	45	0.00000
Chryseobacterium panacisoli	1807141	S	30	18	48	0.00000
Chryseobacterium chendengshani	2864040	S	23	3	26	0.00000
Chryseobacterium aureum	2497456	S	23	6	29	0.00000
Chryseobacterium arthrosphaerae	651561	S	20	6	26	0.00000
Chryseobacterium nakagawai	1241982	S	18	16	34	0.00000
Chryseobacterium salivictor	2547600	S	15	5	20	0.00000
Chryseobacterium gallinarum	1324352	S	14	2	16	0.00000
Chryseobacterium manosquense	2754694	S	13	4	17	0.00000
Chryseobacterium oranimense	421058	S	11	1	12	0.00000
Chryseobacterium koreense	232216	S	10	1	11	0.00000
Chryseobacterium taklimakanense	536441	S	10	2	12	0.00000
Kaistella sp. 97-N-M2	2908645	S	119	7	126	0.00001
Kaistella jeonii	266749	S	25	1	26	0.00000
Candidatus Kaistella beijingensis	2820270	S	12	1	13	0.00000
Kaistella carnis	1241979	S	11	1	12	0.00000
Kaistella flava (ex Peng et al. 2021)	2038776	S	11	1	12	0.00000
Kaistella faecalis	2852098	S	11	0	11	0.00000
Epilithonimonas sp. UC225_85	3350167	S	77	5	82	0.00001
Epilithonimonas vandammei	2487072	S	30	15	45	0.00000
Elizabethkingia bruuniana	1756149	S	213	184	397	0.00003
Elizabethkingia meningoseptica	238	S	31	3	34	0.00000
Elizabethkingia sp. JS20170427COW	2583851	S	28	3	31	0.00000
Elizabethkingia anophelis	1117645	S	19	50	69	0.00000
Elizabethkingia ursingii	1756150	S	13	7	20	0.00000
Elizabethkingia miricola	172045	S	10	22	32	0.00000
Ornithobacterium rhinotracheale	28251	S	392	26	418	0.00003
Candidatus Ornithobacterium hominis	2497989	S	35	2	37	0.00000
Riemerella anatipestifer	34085	S	151	14	165	0.00001
Riemerella columbina	103810	S	15	1	16	0.00000
Weeksella virosa	1014	S	108	37	145	0.00001
Apibacter raozihei	2500547	S	10	0	10	0.00000
Blattabacterium cuenoti	1653831	S	297	31	328	0.00002
Ichthyobacterium seriolicida	242600	S	82	1	83	0.00001
Candidatus Karelsulcia muelleri	336810	S	27	4	31	0.00000
Sanyastnella coralliicola	3069118	S	19	0	19	0.00000
Fluviicola sp.	1917219	S	10	0	10	0.00000
Parvicella tangerina	2829795	S	14	0	14	0.00000
Hymenobacter sp. DG01	2584940	S	82	21	103	0.00001
Hymenobacter sp. APR13	1356852	S	65	113	178	0.00001
Hymenobacter sp. BT18	2835648	S	61	11	72	0.00000
Hymenobacter sp. 5317J-9	2932250	S	61	20	81	0.00001
Hymenobacter sp. PAMC 26628	1484118	S	43	14	57	0.00000
Hymenobacter sp. DG25A	1385663	S	38	9	47	0.00000
Hymenobacter sp. BRD67	2675877	S	26	22	48	0.00000
Hymenobacter sp. HDW8	2714932	S	19	48	67	0.00000
Hymenobacter sp. DG25B	1385664	S	13	3	16	0.00000
Hymenobacter sp. GOD-10R	3093922	S	12	0	12	0.00000
Hymenobacter sp. 102	3403152	S	11	5	16	0.00000
Hymenobacter radiodurans	2496028	S	324	914	1238	0.00008
Hymenobacter jejuensis	2502781	S	123	12	135	0.00001
Hymenobacter busanensis	2607656	S	119	22	141	0.00001
Hymenobacter weizhouensis	2987689	S	117	29	146	0.00001
Hymenobacter nivis	1850093	S	79	30	109	0.00001
Hymenobacter oligotrophus	2319843	S	62	21	83	0.00001
Hymenobacter swuensis	1446467	S	54	20	74	0.00001
Hymenobacter sedentarius	1411621	S	48	10	58	0.00000
Hymenobacter sediminicola	2761579	S	48	12	60	0.00000
Hymenobacter cellulosilyticus	2932248	S	46	13	59	0.00000
Hymenobacter tibetensis	497967	S	41	6	47	0.00000
Hymenobacter aerilatus	2932251	S	36	9	45	0.00000
Hymenobacter latericus	2987688	S	30	10	40	0.00000
Hymenobacter canadensis	2999067	S	28	23	51	0.00000
Hymenobacter monticola	1705399	S	19	4	23	0.00000
Hymenobacter cellulosivorans	2932249	S	14	4	18	0.00000
Hymenobacter baengnokdamensis	2615203	S	13	13	26	0.00000
Hymenobacter volaticus	2932254	S	10	1	11	0.00000
Pontibacter kalidii	2592049	S	293	34	327	0.00002
Pontibacter actiniarum	323450	S	140	14	154	0.00001
Pontibacter sp. SGAir0037	2571030	S	83	8	91	0.00001
Pontibacter akesuensis	388950	S	58	4	62	0.00000
Pontibacter russatus	2694929	S	40	2	42	0.00000
Pontibacter korlensis	400092	S	38	2	40	0.00000
Pontibacter pudoricolor	2694930	S	31	1	32	0.00000
Adhaeribacter swui	2086471	S	150	6	156	0.00001
Adhaeribacter radiodurans	2745197	S	43	1	44	0.00000
Rufibacter tibetensis	512763	S	44	3	47	0.00000
Rufibacter sp. DG15C	1379909	S	12	3	15	0.00000
Dyadobacter pollutisoli	2910158	S	282	10	292	0.00002
Dyadobacter chenwenxiniae	2906456	S	135	8	143	0.00001
Dyadobacter sp. 676	3088362	S	102	5	107	0.00001
Dyadobacter sp. NIV53	2861765	S	22	0	22	0.00000
Dyadobacter fermentans	94254	S	63	3	66	0.00000
Dyadobacter endophyticus	1749036	S	43	2	45	0.00000
Dyadobacter chenhuakuii	2909339	S	38	2	40	0.00000
Dyadobacter sandarakinus	2747268	S	29	1	30	0.00000
Dyadobacter fanqingshengii	2906443	S	12	0	12	0.00000
Larkinella roseola	2674997	S	166	19	185	0.00001
Larkinella sp.	2034517	S	31	3	34	0.00000
Larkinella bombi	2907205	S	14	1	15	0.00000
Larkinella insperata	332158	S	13	1	14	0.00000
Runella slithyformis	106	S	74	2	76	0.00001
Runella rosea	2259595	S	53	1	54	0.00000
Fibrella aestuarina	651143	S	84	7	91	0.00001
Spirosoma montaniterrae	1178516	S	62	6	68	0.00000
Spirosoma pollinicola	2057025	S	60	7	67	0.00000
Spirosoma taeanense	2735870	S	54	6	60	0.00000
Spirosoma sp. KNUC1025	2894082	S	34	3	37	0.00000
Spirosoma aerolatum	1211326	S	40	3	43	0.00000
Spirosoma rigui	564064	S	24	2	26	0.00000
Spirosoma linguale	108	S	18	2	20	0.00000
Spirosoma rhododendri	2728024	S	18	2	20	0.00000
Spirosoma foliorum	2710596	S	12	1	13	0.00000
Spirosoma radiotolerans	1379870	S	10	1	11	0.00000
Algoriphagus halophilus	226505	S	36	30	66	0.00000
Algoriphagus halophytocola	2991499	S	18	30	48	0.00000
Echinicola strongylocentroti	1795355	S	37	2	39	0.00000
Echinicola rosea	1807691	S	32	3	35	0.00000
Echinicola soli	2591634	S	15	0	15	0.00000
Echinicola sp. 20G	2781961	S	14	0	14	0.00000
Cyclobacterium xiamenense	1297121	S	47	1	48	0.00000
Aquiflexum balticum	280473	S	20	0	20	0.00000
Mongoliitalea daihaiensis	2782006	S	10	0	10	0.00000
Catalinimonas niigatensis	1397264	S	125	3	128	0.00001
Porifericola rhodea	930972	S	31	0	31	0.00000
Tunicatimonas pelagia	931531	S	24	0	24	0.00000
Persicobacter psychrovividus	387638	S	114	2	116	0.00001
Aureibacter tunicatorum	866807	S	33	0	33	0.00000
Fulvitalea axinellae	1182444	S	18	0	18	0.00000
Ekhidna sp.	2608089	S	83	4	87	0.00001
Ekhidna algicida	3395267	S	36	2	38	0.00000
Reichenbachiella carrageenanivorans	2979869	S	10	1	11	0.00000
Emticicia oligotrophica	312279	S	30	0	30	0.00000
Emticicia sp. 21SJ11W-3	2916755	S	27	0	27	0.00000
Jiulongibacter sp. NS-SX5	3463854	S	32	1	33	0.00000
Flammeovirga pectinis	2494373	S	58	14	72	0.00000
Fulvivirga ligni	2904246	S	31	1	32	0.00000
Fulvivirga maritima	2904247	S	29	1	30	0.00000
Chryseolinea soli	2321403	S	25	0	25	0.00000
Rhodocytophaga rosea	2704465	S	72	1	73	0.00000
Marivirga salinarum	3059078	S	18	0	18	0.00000
Roseivirga sp.	1964215	S	12	0	12	0.00000
Cardinium endosymbiont of Tipula unca	3066216	S	16	1	17	0.00000
Pedobacter sp. UC225_65	3350173	S	146	39	185	0.00001
Pedobacter sp. AW1-32	3383026	S	134	55	189	0.00001
Pedobacter sp. AW31-3R	3445781	S	45	11	56	0.00000
Pedobacter sp. G11	2482728	S	30	27	57	0.00000
Pedobacter sp. FW305-3-2-15-E-R2A2	3140251	S	20	13	33	0.00000
Pedobacter sp. NJ-S-72	3476222	S	19	18	37	0.00000
Pedobacter sp. R-06	3404051	S	18	37	55	0.00000
Pedobacter sp.	1411316	S	14	9	23	0.00000
Pedobacter sp. SL55	2995161	S	11	3	14	0.00000
Pedobacter sp. KLB.chiD	3387402	S	11	22	33	0.00000
Pedobacter panaciterrae	363849	S	286	273	559	0.00004
Pedobacter suwonensis	332999	S	45	72	117	0.00001
Pedobacter heparinus	984	S	30	8	38	0.00000
Pedobacter endophyticus	2789740	S	18	6	24	0.00000
Pedobacter ginsengisoli	363852	S	11	11	22	0.00000
Mucilaginibacter sp. Mucisp86	3243060	S	115	65	180	0.00001
Mucilaginibacter sp. 5C4	3048589	S	104	18	122	0.00001
Mucilaginibacter sp. CSA2-8R	3141542	S	58	6	64	0.00000
Mucilaginibacter sp.	1882438	S	34	3	37	0.00000
Mucilaginibacter sp. McL0603	3415670	S	34	3	37	0.00000
Mucilaginibacter sp. 21P	2778902	S	32	3	35	0.00000
Mucilaginibacter sp. R-33	3416711	S	27	74	101	0.00001
Mucilaginibacter sp. SMC90	2929803	S	17	9	26	0.00000
Mucilaginibacter sp. NFX135	3402687	S	12	2	14	0.00000
Mucilaginibacter geliditolerans	2723088	S	130	104	234	0.00002
Mucilaginibacter tundrae	2723089	S	87	15	102	0.00001
Mucilaginibacter ginsenosidivorax	862126	S	54	23	77	0.00001
Mucilaginibacter yixingensis	1295612	S	50	6	56	0.00000
Mucilaginibacter mali	2740462	S	48	4	52	0.00000
Mucilaginibacter paludis	423351	S	46	5	51	0.00000
Mucilaginibacter gotjawali	1550579	S	43	4	47	0.00000
Mucilaginibacter daejeonensis	398049	S	37	4	41	0.00000
Mucilaginibacter empetricola	2723092	S	35	5	40	0.00000
Mucilaginibacter ginsenosidivorans	398053	S	32	2	34	0.00000
Mucilaginibacter xinganensis	1234841	S	16	1	17	0.00000
Mucilaginibacter celer	2305508	S	13	2	15	0.00000
Mucilaginibacter robiniae	2728022	S	10	2	12	0.00000
Sphingobacterium sp. R2	3112958	S	73	75	148	0.00001
Sphingobacterium sp. BN32	3058432	S	49	32	81	0.00001
Sphingobacterium sp. SYP-B4668	2996035	S	42	7	49	0.00000
Sphingobacterium sp. DR205	2713573	S	31	36	67	0.00000
Sphingobacterium oryzagri	3025669	S	38	5	43	0.00000
