name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Segatella copri	165179	S	14816779	873000	15689779	0.64047
Segatella hominis	2518605	S	63360	12675	76035	0.00310
Segatella bryantii	77095	S	1421	2453	3874	0.00016
Segatella baroniae	305719	S	1257	3832	5089	0.00021
Segatella oris	28135	S	496	26	522	0.00002
Prevotella sp. E2-28	2913620	S	864	45	909	0.00004
Prevotella sp. Rep29	2691580	S	673	15	688	0.00003
Prevotella sp. E15-22	2937774	S	590	39	629	0.00003
Prevotella sp. oral taxon 299	652716	S	432	33	465	0.00002
Prevotella sp. E9-3	2913621	S	216	9	225	0.00001
Prevotella sp.	59823	S	89	19	108	0.00000
Prevotella sp. oral taxon 475	712471	S	28	1	29	0.00000
Prevotella sp. E13-17	2913616	S	25	1	26	0.00000
Prevotella melaninogenica	28132	S	2217	707	2924	0.00012
Prevotella communis	2913614	S	1791	98	1889	0.00008
Prevotella veroralis	28137	S	1196	254	1450	0.00006
Prevotella intermedia	28131	S	839	259	1098	0.00004
Prevotella bivia	28125	S	753	70	823	0.00003
Prevotella corporis	28128	S	590	61	651	0.00003
Prevotella fusca	589436	S	590	133	723	0.00003
Prevotella jejuni	1177574	S	459	182	641	0.00003
Prevotella nigrescens	28133	S	385	542	927	0.00004
Prevotella scopos	589437	S	259	136	395	0.00002
Prevotella dentalis	52227	S	96	7	103	0.00000
Prevotella denticola	28129	S	46	16	62	0.00000
Prevotella histicola	470565	S	36	4	40	0.00000
Prevotella multiformis	282402	S	30	14	44	0.00000
Paraprevotella clara	454154	S	1140	150	1290	0.00005
Paraprevotella xylaniphila	454155	S	354	61	415	0.00002
Hoylesella enoeca	76123	S	320	27	347	0.00001
Hoylesella buccalis	28127	S	108	845	953	0.00004
Xylanibacter ruminicola	839	S	413	4	417	0.00002
Pseudoprevotella muciniphila	2133944	S	52	0	52	0.00000
Bacteroides stercoris	46506	S	343648	89004	432652	0.01766
Bacteroides caccae	47678	S	169278	45470	214748	0.00877
Bacteroides xylanisolvens	371601	S	108207	133163	241370	0.00985
Bacteroides uniformis	820	S	107403	87368	194771	0.00795
Bacteroides fragilis	817	S	41169	30204	71373	0.00291
Bacteroides zhangwenhongii	2650157	S	36538	37548	74086	0.00302
Bacteroides finegoldii	338188	S	31842	29010	60852	0.00248
Bacteroides thetaiotaomicron	818	S	29495	4770	34265	0.00140
Bacteroides difficilis	2763021	S	22289	24424	46713	0.00191
Bacteroides sp. CACC 737	2755405	S	3984	16223	20207	0.00082
Bacteroides sp. DH3716P	2847299	S	3763	38413	42176	0.00172
Bacteroides sp. A1C1	2528203	S	2651	13780	16431	0.00067
Bacteroides sp. M10	2763022	S	2150	2079	4229	0.00017
Bacteroides sp. HF-162	2785531	S	1234	9967	11201	0.00046
Bacteroides sp. D2	556259	S	804	1358	2162	0.00009
Bacteroides ovatus	28116	S	14200	32214	46414	0.00189
Bacteroides faecis	674529	S	7161	1659	8820	0.00036
Bacteroides caecimuris	1796613	S	7151	2484	9635	0.00039
Bacteroides hominis	2763023	S	2711	16426	19137	0.00078
Bacteroides salyersiae	291644	S	2106	145	2251	0.00009
Bacteroides faecium	2715212	S	1724	96	1820	0.00007
Bacteroides nordii	291645	S	1456	328	1784	0.00007
Bacteroides luhongzhouii	2650158	S	1408	420	1828	0.00007
Bacteroides mucinivorans	3096000	S	1325	316	1641	0.00007
Bacteroides parvus	2763025	S	1151	7751	8902	0.00036
Bacteroides celer	2025659	S	842	1166	2008	0.00008
Bacteroides eggerthii	28111	S	666	118	784	0.00003
Bacteroides pyogenes	310300	S	555	29	584	0.00002
Bacteroides cellulosilyticus	246787	S	389	202	591	0.00002
Bacteroides helcogenes	290053	S	304	6	310	0.00001
Bacteroides intestinalis	329854	S	301	36	337	0.00001
Bacteroides sedimenti	2136147	S	297	2	299	0.00001
Bacteroides zoogleoformans	28119	S	215	30	245	0.00001
Bacteroides graminisolvens	477666	S	166	1	167	0.00001
Bacteroides maternus	3117552	S	160	56	216	0.00001
Prevotella heparinolytica	28113	S	138	29	167	0.00001
uncultured Bacteroides sp.	162156	S	45	0	45	0.00000
Phocaeicola vulgatus	821	S	751618	318875	1070493	0.04370
Phocaeicola dorei	357276	S	27506	12626	40132	0.00164
Phocaeicola coprophilus	387090	S	3855	583	4438	0.00018
Phocaeicola salanitronis	376805	S	967	34	1001	0.00004
Phocaeicola coprocola	310298	S	17	599	616	0.00003
Parabacteroides merdae	46503	S	440531	92927	533458	0.02178
Parabacteroides distasonis	823	S	181818	220510	402328	0.01642
Parabacteroides johnsonii	387661	S	2024	330	2354	0.00010
Parabacteroides sp. ASD2025	3415987	S	587	60	647	0.00003
Parabacteroides sp. APC149_11_2_Y6	3372857	S	107	4	111	0.00000
Parabacteroides sp. CT06	2025876	S	35	1322	1357	0.00006
Parabacteroides goldsteinii	328812	S	512	41	553	0.00002
Parabacteroides chongii	2685834	S	254	25	279	0.00001
Parabacteroides absconsus	2951805	S	192	10	202	0.00001
Parabacteroides faecis	1217282	S	58	5	63	0.00000
Tannerella forsythia	28112	S	31	0	31	0.00000
Alistipes onderdonkii	328813	S	562864	73476	636340	0.02598
Alistipes sp. i18-0019-D1	3132707	S	86451	15922	102373	0.00418
Alistipes sp. dk3624	2662363	S	73	2	75	0.00000
Alistipes dispar	2585119	S	35672	2359	38031	0.00155
Alistipes communis	2585118	S	31881	1955	33836	0.00138
Alistipes shahii	328814	S	12692	4676	17368	0.00071
Alistipes finegoldii	214856	S	8331	2085	10416	0.00043
uncultured Alistipes sp.	538949	S	2355	89	2444	0.00010
Alistipes indistinctus	626932	S	2270	70	2340	0.00010
Alistipes putredinis	28117	S	2041	291	2332	0.00010
Alistipes senegalensis	1288121	S	1438	119	1557	0.00006
Alistipes ihumii	1470347	S	92	0	92	0.00000
Barnesiella intestinihominis	487174	S	128332	4069	132401	0.00540
Barnesiella viscericola	397865	S	371	37	408	0.00002
Barnesiella sp. An22	1965590	S	320	25	345	0.00001
Coprobacter fastidiosus	1099853	S	3249	57	3306	0.00013
Coprobacter secundus	1501392	S	138	9	147	0.00001
Odoribacter splanchnicus	28118	S	16053	1609	17662	0.00072
Butyricimonas faecalis	2093856	S	847	161	1008	0.00004
Butyricimonas virosa	544645	S	140	11	151	0.00001
Butyricimonas faecihominis	1472416	S	102	18	120	0.00000
Butyricimonas paravirosa	1472417	S	23	5	28	0.00000
Muribaculum gordoncarteri	2530390	S	2417	2389	4806	0.00020
Muribaculum intestinale	1796646	S	16	5	21	0.00000
Sodaliphilus pleomorphus	2606626	S	1737	43	1780	0.00007
Duncaniella dubosii	2518971	S	1297	558	1855	0.00008
Paramuribaculum intestinale	2094151	S	27	13	40	0.00000
Porphyromonas levii	28114	S	527	52	579	0.00002
Porphyromonas asaccharolytica	28123	S	316	49	365	0.00001
Porphyromonas gingivalis	837	S	184	22	206	0.00001
Porphyromonas sp. oral taxon 275	712435	S	162	3	165	0.00001
Porphyromonas somerae	322095	S	14	3	17	0.00000
Macellibacteroides fermentans	879969	S	25	0	25	0.00000
Candidatus Azobacteroides pseudotrichonymphae	511435	S	163	0	163	0.00001
Proteiniphilum saccharofermentans	1642647	S	54	0	54	0.00000
Proteiniphilum propionicum	2829812	S	40	0	40	0.00000
Petrimonas sp.	2023866	S	11	4	15	0.00000
Paludibacter propionicigenes	185300	S	137	0	137	0.00001
Salinivirga cyanobacteriivorans	1307839	S	31	0	31	0.00000
uncultured Draconibacterium sp.	1573823	S	17	0	17	0.00000
Mangrovibacterium marinum	1639118	S	22	0	22	0.00000
Aquipluma nitroreducens	2010828	S	21	0	21	0.00000
Maribellus comscasis	2681766	S	19	0	19	0.00000
Flavobacterium marginilacus	3003256	S	490	187	677	0.00003
Flavobacterium sp. KACC 22761	3092665	S	81	87	168	0.00001
Flavobacterium sp. N1719	2885633	S	76	8	84	0.00000
Flavobacterium ammonificans	1751056	S	74	37	111	0.00000
Flavobacterium gilvum	1492737	S	17	5	22	0.00000
Flavobacterium psychrotrophum	2294119	S	10	0	10	0.00000
Capnocytophaga stomatis	1848904	S	271	34	305	0.00001
Capnocytophaga sp. oral taxon 878	1316596	S	75	22	97	0.00000
Formosa sp. Hel1_33_131	1336794	S	176	92	268	0.00001
Winogradskyella sp. PG-2	754409	S	104	16	120	0.00000
Winogradskyella forsetii	2686077	S	19	3	22	0.00000
Tenacibaculum sp. ZS6-P6	3447503	S	18	6	24	0.00000
Tenacibaculum polynesiense	3137857	S	16	2	18	0.00000
Myroides sp. A21	1583100	S	62	44	106	0.00000
Zunongwangia sp. SCSIO 43204	2779359	S	44	29	73	0.00000
Aureibaculum algae	2584122	S	54	6	60	0.00000
Aequorivita sublithincola	101385	S	35	14	49	0.00000
Maribacter sp. R77961	3093871	S	20	1	21	0.00000
Maribacter sp. IgM3_T14_3	3415140	S	16	3	19	0.00000
Nonlabens sp. MB-3u-79	2058134	S	30	2	32	0.00000
Euzebyella marina	1761453	S	27	6	33	0.00000
Salegentibacter salegens	143223	S	23	3	26	0.00000
Urechidicola croceus	1850246	S	16	5	21	0.00000
Seonamhaeicola sp. S2-3	1936081	S	13	3	16	0.00000
Pukyongia salina	2094025	S	14	0	14	0.00000
Zobellia laminariae	248906	S	12	1	13	0.00000
Amniculibacterium sp. G2-70	2767188	S	11	21	32	0.00000
Chryseobacterium sp. 3008163	2478663	S	20	167	187	0.00001
Chryseobacterium piperi	558152	S	10	46	56	0.00000
Ornithobacterium rhinotracheale	28251	S	63	9	72	0.00000
Cruoricaptor ignavus	1118202	S	26	3	29	0.00000
Faecalibacter bovis	2898187	S	12	4	16	0.00000
Blattabacterium cuenoti	1653831	S	27	6	33	0.00000
Hymenobacter sp. APR13	1356852	S	22	176	198	0.00001
Hymenobacter volaticus	2932254	S	37	17	54	0.00000
Hymenobacter jejuensis	2502781	S	37	11	48	0.00000
Hymenobacter nivis	1850093	S	22	35	57	0.00000
Nibribacter ruber	2698458	S	117	3	120	0.00000
Pontibacter sp. G13	3074898	S	10	0	10	0.00000
Larkinella insperata	332158	S	156	8	164	0.00001
Larkinella sp.	2034517	S	25	1	26	0.00000
Dyadobacter sp. 32	538966	S	24	2	26	0.00000
Dyadobacter sandarakinus	2747268	S	23	4	27	0.00000
Runella sp.	1960881	S	21	1	22	0.00000
Algoriphagus sanaruensis	1727163	S	31	1	32	0.00000
Echinicola strongylocentroti	1795355	S	15	1	16	0.00000
Echinicola soli	2591634	S	12	0	12	0.00000
Roseivirga pacifica	1267423	S	82	2	84	0.00000
Spirosoma sp. KNUC1025	2894082	S	50	0	50	0.00000
Flammeovirga pectinis	2494373	S	31	9	40	0.00000
Aureibacter tunicatorum	866807	S	31	0	31	0.00000
Emticicia oligotrophica	312279	S	15	0	15	0.00000
Sphingobacterium sp. WOUb80	3234028	S	159	48	207	0.00001
Sphingobacterium sp. R2	3112958	S	36	9	45	0.00000
Sphingobacterium thalpophilum	259	S	40	17	57	0.00000
Sphingobacterium mizutaii	1010	S	26	4	30	0.00000
Pedobacter roseus	336820	S	234	3	237	0.00001
Pedobacter ginsengisoli	363852	S	22	0	22	0.00000
Mucilaginibacter sp. KACC 22773	3025671	S	33	8	41	0.00000
Olivibacter sp. LS-1	2592345	S	21	0	21	0.00000
Chitinophaga agri	2703787	S	36	2	38	0.00000
Chitinophaga sp. XS-30	2604421	S	12	1	13	0.00000
Lacibacter sediminis	2760713	S	47	1	48	0.00000
Niabella soli	446683	S	32	0	32	0.00000
Arachidicoccus ginsenosidivorans	496057	S	13	0	13	0.00000
Puia sp. P3	3423952	S	10	0	10	0.00000
Pseudogemmatithrix spongiicola	3062599	S	11	1	12	0.00000
Sutterella faecalis	2584944	S	1493547	48303	1541850	0.06294
Sutterella wadsworthensis	40545	S	84232	2668	86900	0.00355
Sutterella megalosphaeroides	2494234	S	8908	349	9257	0.00038
Duodenibacillus massiliensis	1852381	S	6394	160	6554	0.00027
Turicimonas muris	1796652	S	388	5	393	0.00002
Cupriavidus sp. WKF15	3032282	S	415	309	724	0.00003
Cupriavidus sp. TMH.W2	3434465	S	275	254	529	0.00002
Cupriavidus taiwanensis	164546	S	365	203	568	0.00002
