name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Faecalibacterium sp. I4-3-84	2929495	S	100133	355487	455620	0.01492
Faecalibacterium sp. i21-0019-B1	3141184	S	80878	467281	548159	0.01795
Faecalibacterium sp. 7	3402017	S	54402	209958	264360	0.00866
Faecalibacterium sp. PGM34	3567997	S	28169	33909	62078	0.00203
Faecalibacterium sp. I4-1-79	2929494	S	24327	44332	68659	0.00225
Faecalibacterium sp. IP-3-29	2929489	S	18922	88686	107608	0.00352
Faecalibacterium sp. I3-3-89	2929493	S	14898	9866	24764	0.00081
Faecalibacterium sp. I3-3-33	2929492	S	6736	10824	17560	0.00058
Faecalibacterium sp. IP-1-18	2929488	S	6235	80526	86761	0.00284
Faecalibacterium sp. I2-3-92	2929490	S	5279	25765	31044	0.00102
Faecalibacterium taiwanense	3030638	S	182169	1245207	1427376	0.04675
Faecalibacterium wellingii	2929491	S	34616	92554	127170	0.00417
Faecalibacterium duncaniae	411483	S	10689	48468	59157	0.00194
Faecalibacterium hominis (ex Afrizal et al. 2022)	2881265	S	8228	34207	42435	0.00139
Ruminococcus bovis	2564099	S	127955	1827	129782	0.00425
Ruminococcus sp. SR1/5	657323	S	71155	94437	165592	0.00542
Ruminococcus sp. JL13D9	3233381	S	528	7	535	0.00002
Ruminococcus sp. JE7B6	3233380	S	184	1	185	0.00001
Ruminococcus sp. FMB-CY1	2878202	S	38	6471	6509	0.00021
Ruminococcus bicirculans (ex Wegman et al. 2014)	1160721	S	65420	1100	66520	0.00218
Ruminococcus callidus	40519	S	13064	136	13200	0.00043
Ruminococcus champanellensis	1161942	S	706	5	711	0.00002
Ruminococcus gauvreauii	438033	S	611	11	622	0.00002
Ruminococcus albus	1264	S	189	0	189	0.00001
Ruthenibacterium lactatiformans	1550024	S	47508	1138	48646	0.00159
Subdoligranulum variabile	214851	S	12443	8271	20714	0.00068
uncultured Subdoligranulum sp.	512298	S	12073	8621	20694	0.00068
Dysosmobacter welbionis	2093857	S	28221	47682	75903	0.00249
Dysosmobacter sp. Phy	3465159	S	652	25	677	0.00002
Flavonifractor plautii	292800	S	26440	1067	27507	0.00090
Hominenteromicrobium mulieris	2885357	S	9345	792	10137	0.00033
Lawsonibacter asaccharolyticus	2108523	S	7633	252	7885	0.00026
Vescimonas coprocola	2714355	S	4391	604	4995	0.00016
Vescimonas fastidiosa	2714353	S	2423	303	2726	0.00009
Owariibacterium komagatae	3136601	S	3287	185	3472	0.00011
Oscillibacter hominis	2763056	S	2230	119	2349	0.00008
Oscillibacter sp. PEA192	2109687	S	818	5919	6737	0.00022
Pseudoflavonifractor gallinarum	2779352	S	2823	94	2917	0.00010
Anaerotruncus colihominis	169435	S	2760	146	2906	0.00010
Pusillibacter faecalis	2714358	S	2399	91	2490	0.00008
Caproicibacterium sp. BJN0003	2994078	S	93	8	101	0.00000
Caproicibacterium sp. NSD3	3457503	S	42	2	44	0.00000
Caproicibacterium amylolyticum	2766537	S	116	8	124	0.00000
Caproicibacterium lactatifermentans	2666138	S	12	528	540	0.00002
Solibaculum mannosilyticum	2780922	S	308	15	323	0.00001
Amygdalobacter nucleatus	3029274	S	222	24	246	0.00001
Amygdalobacter indicium	3029272	S	52	4	56	0.00000
Acidaminobacterium chupaoyuni	3381350	S	230	1	231	0.00001
Ethanoligenens harbinense	253239	S	225	3	228	0.00001
Ruminiclostridium cellulolyticum	1521	S	57	3	60	0.00000
Ruminiclostridium herbifermentans	2488810	S	46	1	47	0.00000
Ruminiclostridium papyrosolvens	29362	S	18	1	19	0.00000
Thermocaproicibacter melissae	2966552	S	102	4	106	0.00000
Mageeibacillus indolicus	884684	S	96	2	98	0.00000
Bengtsoniella intestinalis	3073143	S	94	0	94	0.00000
Paludihabitans sp. MB14-C6	3070656	S	55	0	55	0.00000
Petroclostridium sp. X23	3045146	S	44	0	44	0.00000
Fastidiosipila sanguinis	236753	S	44	1	45	0.00000
Thermoclostridium stercorarium	1510	S	14	0	14	0.00000
Clostridium sp. M62/1	411486	S	168820	18285	187105	0.00613
Clostridium sp. ETTB3	3438650	S	3364	142	3506	0.00011
Clostridium sp. HCS.1	3238594	S	722	22	744	0.00002
Clostridium sp. SY8519	1042156	S	514	9	523	0.00002
Clostridium sp. BJN0013	3236840	S	194	14	208	0.00001
Clostridium sp. BJN0001	2930219	S	90	3	93	0.00000
Clostridium sp. MD294	97138	S	89	0	89	0.00000
Clostridium sp. OS1-26	3070681	S	74	2	76	0.00000
Clostridium sp. DL-VIII	641107	S	65	2	67	0.00000
Clostridium sp. JN-9	2507159	S	29	0	29	0.00000
Clostridium sp. MB40-C1	3070996	S	27	0	27	0.00000
Clostridium sp. CM042	3468798	S	23	20	43	0.00000
Clostridium sp. LBM24168	3450749	S	23	0	23	0.00000
Clostridium sp. JN-1	2483110	S	23	0	23	0.00000
Clostridium sp. MB05	3376682	S	22	0	22	0.00000
Clostridium sp. JS66	3064705	S	21	4	25	0.00000
Clostridium sp. BNL1100	755731	S	20	1	21	0.00000
Clostridium sp. C1	1155388	S	19	23	42	0.00000
Clostridium sp.	1506	S	18	0	18	0.00000
Clostridium sp. JNZ J1-5	3475975	S	17	0	17	0.00000
Clostridium sp. JNZ X4-2	3470764	S	15	0	15	0.00000
Clostridium sp. 'deep sea'	2779445	S	13	0	13	0.00000
Clostridium sp. 10cd*	3373596	S	12	60	72	0.00000
[Clostridium] innocuum	1522	S	1578	1532	3110	0.00010
Clostridium perfringens	1502	S	1451	1115	2566	0.00008
Clostridium intestinale	36845	S	444	7	451	0.00001
Clostridium estertheticum	238834	S	371	10	381	0.00001
Clostridium cadaveris	1529	S	310	7	317	0.00001
Clostridium saccharoperbutylacetonicum	36745	S	189	4	193	0.00001
Clostridium botulinum	1491	S	178	48	226	0.00001
Clostridium pasteurianum	1501	S	101	1	102	0.00000
Clostridium baratii	1561	S	99	3	102	0.00000
Clostridium carboxidivorans	217159	S	88	21	109	0.00000
Clostridium gasigenes	94869	S	86	1	87	0.00000
Clostridium taeniosporum	394958	S	86	3	89	0.00000
Clostridium butyricum	1492	S	78	73	151	0.00000
Clostridium chauvoei	46867	S	75	4	79	0.00000
Clostridium bornimense	1216932	S	73	2	75	0.00000
Clostridium manihotivorum	2320868	S	71	1	72	0.00000
Clostridium septicum	1504	S	68	3	71	0.00000
Clostridium tertium	1559	S	65	3	68	0.00000
Clostridium argentinense	29341	S	63	1	64	0.00000
Clostridium culturomicium	1499683	S	60	0	60	0.00000
Clostridium cellulovorans	1493	S	55	0	55	0.00000
Clostridium saccharobutylicum	169679	S	53	1	54	0.00000
Clostridium beijerinckii	1520	S	51	23	74	0.00000
Clostridium isatidis	182773	S	51	2	53	0.00000
Clostridium cochlearium	1494	S	46	3	49	0.00000
Clostridium acetobutylicum	1488	S	44	0	44	0.00000
Clostridium thermosuccinogenes	84032	S	43	0	43	0.00000
Clostridium felsineum	36839	S	40	0	40	0.00000
Clostridium sporogenes	1509	S	40	158	198	0.00001
Clostridium tetani	1513	S	39	1	40	0.00000
Clostridium caseinilyticum	3350403	S	35	4	39	0.00000
Clostridium gelidum	704125	S	31	0	31	0.00000
Clostridium fermenticellae	2068654	S	31	0	31	0.00000
Clostridium kluyveri	1534	S	24	1	25	0.00000
Clostridium drakei	332101	S	20	6	26	0.00000
Clostridium novyi	1542	S	19	8	27	0.00000
Clostridium tagluense	360422	S	18	0	18	0.00000
Clostridium thermarum	1716543	S	17	0	17	0.00000
Clostridium tyrobutyricum	1519	S	16	0	16	0.00000
Lactonifactor longoviformis	341220	S	941	20	961	0.00003
Hathewaya histolytica	1498	S	172	11	183	0.00001
Proteiniclasticum sp. QWL-01	3036945	S	104	1	105	0.00000
Wukongibacter baidiensis	1723361	S	45	0	45	0.00000
Wukongibacter sp. M2B1	3088895	S	32	0	32	0.00000
Crassaminicella thermophila	2599308	S	29	0	29	0.00000
Crassaminicella profunda	1286698	S	22	0	22	0.00000
