name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Segatella copri	165179	S	10031526	350212	10381738	0.42301
Segatella hominis	2518605	S	30311	3648	33959	0.00138
Segatella bryantii	77095	S	8223	8618	16841	0.00069
Segatella oris	28135	S	30	0	30	0.00000
Prevotella communis	2913614	S	575	161	736	0.00003
Prevotella sp. Rep29	2691580	S	221	7	228	0.00001
Prevotella sp. E15-22	2937774	S	75	19	94	0.00000
Prevotella sp. oral taxon 475	712471	S	49	6	55	0.00000
Prevotella sp. E2-28	2913620	S	38	8	46	0.00000
Prevotella sp. E9-3	2913621	S	21	2	23	0.00000
Prevotella sp. E13-17	2913616	S	15	1	16	0.00000
Prevotella sp. oral taxon 299	652716	S	11	3	14	0.00000
Prevotella dentalis	52227	S	208	60	268	0.00001
Prevotella intermedia	28131	S	149	219	368	0.00001
Prevotella corporis	28128	S	109	36	145	0.00001
Prevotella bivia	28125	S	95	37	132	0.00001
Prevotella melaninogenica	28132	S	92	154	246	0.00001
Prevotella multiformis	282402	S	61	158	219	0.00001
Prevotella herbatica	2801997	S	39	45	84	0.00000
Prevotella histicola	470565	S	31	19	50	0.00000
Prevotella nigrescens	28133	S	20	44	64	0.00000
Prevotella veroralis	28137	S	20	21	41	0.00000
Prevotella denticola	28129	S	18	32	50	0.00000
Prevotella jejuni	1177574	S	14	29	43	0.00000
Prevotella scopos	589437	S	10	28	38	0.00000
Xylanibacter ruminicola	839	S	688	6	694	0.00003
Paraprevotella clara	454154	S	334	29	363	0.00001
Paraprevotella xylaniphila	454155	S	238	26	264	0.00001
Hoylesella buccalis	28127	S	370	53	423	0.00002
Hoylesella enoeca	76123	S	10	0	10	0.00000
Pseudoprevotella muciniphila	2133944	S	13	0	13	0.00000
Phocaeicola vulgatus	821	S	516477	185609	702086	0.02861
Phocaeicola dorei	357276	S	224671	81464	306135	0.01247
Phocaeicola salanitronis	376805	S	6676	158	6834	0.00028
Phocaeicola coprophilus	387090	S	449	51	500	0.00002
Bacteroides caccae	47678	S	133168	22303	155471	0.00633
Bacteroides uniformis	820	S	59152	67961	127113	0.00518
Bacteroides ovatus	28116	S	37020	104519	141539	0.00577
Bacteroides thetaiotaomicron	818	S	34563	5520	40083	0.00163
Bacteroides sp. M10	2763022	S	4381	5120	9501	0.00039
Bacteroides sp. D2	556259	S	1448	3065	4513	0.00018
Bacteroides sp. HF-162	2785531	S	501	4782	5283	0.00022
Bacteroides sp. CACC 737	2755405	S	337	1658	1995	0.00008
Bacteroides sp. A1C1	2528203	S	174	1098	1272	0.00005
Bacteroides sp. DH3716P	2847299	S	128	1565	1693	0.00007
Bacteroides xylanisolvens	371601	S	5566	11741	17307	0.00071
Bacteroides fragilis	817	S	3019	2690	5709	0.00023
Bacteroides nordii	291645	S	2857	728	3585	0.00015
Bacteroides zhangwenhongii	2650157	S	2797	3262	6059	0.00025
Bacteroides cellulosilyticus	246787	S	2702	1631	4333	0.00018
Bacteroides stercoris	46506	S	2491	635	3126	0.00013
Bacteroides salyersiae	291644	S	1772	90	1862	0.00008
Bacteroides hominis	2763023	S	976	7182	8158	0.00033
Bacteroides caecimuris	1796613	S	805	290	1095	0.00004
Bacteroides celer	2025659	S	772	1339	2111	0.00009
Bacteroides faecis	674529	S	690	156	846	0.00003
Bacteroides difficilis	2763021	S	412	537	949	0.00004
Bacteroides eggerthii	28111	S	355	46	401	0.00002
Bacteroides luhongzhouii	2650158	S	335	122	457	0.00002
Bacteroides faecium	2715212	S	273	18	291	0.00001
Bacteroides mucinivorans	3096000	S	260	74	334	0.00001
Bacteroides pyogenes	310300	S	248	10	258	0.00001
Bacteroides finegoldii	338188	S	223	238	461	0.00002
Bacteroides intestinalis	329854	S	133	18	151	0.00001
Bacteroides zoogleoformans	28119	S	115	15	130	0.00001
Bacteroides maternus	3117552	S	100	42	142	0.00001
Bacteroides helcogenes	290053	S	78	1	79	0.00000
Bacteroides sedimenti	2136147	S	52	0	52	0.00000
Bacteroides parvus	2763025	S	45	364	409	0.00002
Bacteroides graminisolvens	477666	S	40	0	40	0.00000
uncultured Bacteroides sp.	162156	S	38	0	38	0.00000
Prevotella heparinolytica	28113	S	10	2	12	0.00000
Alistipes putredinis	28117	S	285033	25456	310489	0.01265
Alistipes communis	2585118	S	63307	2854	66161	0.00270
Alistipes shahii	328814	S	57909	18578	76487	0.00312
Alistipes onderdonkii	328813	S	37054	3649	40703	0.00166
Alistipes finegoldii	214856	S	13203	2701	15904	0.00065
Alistipes ihumii	1470347	S	10348	77	10425	0.00042
Alistipes indistinctus	626932	S	10305	198	10503	0.00043
Alistipes senegalensis	1288121	S	10251	1602	11853	0.00048
uncultured Alistipes sp.	538949	S	1889	55	1944	0.00008
Alistipes dispar	2585119	S	1368	64	1432	0.00006
Alistipes sp. i18-0019-D1	3132707	S	918	144	1062	0.00004
Alistipes sp. dk3624	2662363	S	100	1	101	0.00000
Parabacteroides merdae	46503	S	192191	27222	219413	0.00894
Parabacteroides distasonis	823	S	25865	23005	48870	0.00199
Parabacteroides johnsonii	387661	S	719	81	800	0.00003
Parabacteroides sp. ASD2025	3415987	S	336	24	360	0.00001
Parabacteroides sp. CT06	2025876	S	92	2711	2803	0.00011
Parabacteroides sp. APC149_11_2_Y6	3372857	S	38	1	39	0.00000
Parabacteroides absconsus	2951805	S	425	13	438	0.00002
Parabacteroides goldsteinii	328812	S	303	15	318	0.00001
Parabacteroides chongii	2685834	S	132	9	141	0.00001
Parabacteroides faecis	1217282	S	50	3	53	0.00000
Tannerella serpentiformis	712710	S	28	0	28	0.00000
Tannerella forsythia	28112	S	23	0	23	0.00000
Barnesiella intestinihominis	487174	S	94008	1520	95528	0.00389
Barnesiella sp. An22	1965590	S	1314	56	1370	0.00006
Barnesiella viscericola	397865	S	225	12	237	0.00001
Coprobacter secundus	1501392	S	164	5	169	0.00001
Coprobacter fastidiosus	1099853	S	73	0	73	0.00000
Odoribacter splanchnicus	28118	S	35633	2049	37682	0.00154
Butyricimonas virosa	544645	S	20654	2146	22800	0.00093
Butyricimonas paravirosa	1472417	S	718	173	891	0.00004
Butyricimonas faecihominis	1472416	S	576	119	695	0.00003
Butyricimonas faecalis	2093856	S	339	40	379	0.00002
Muribaculum intestinale	1796646	S	133	1	134	0.00001
Muribaculum gordoncarteri	2530390	S	28	0	28	0.00000
Sodaliphilus pleomorphus	2606626	S	120	1	121	0.00000
Duncaniella dubosii	2518971	S	38	0	38	0.00000
Paramuribaculum intestinale	2094151	S	21	0	21	0.00000
Porphyromonas gingivalis	837	S	129	3	132	0.00001
Porphyromonas sp. oral taxon 275	712435	S	67	0	67	0.00000
Porphyromonas levii	28114	S	39	0	39	0.00000
Macellibacteroides fermentans	879969	S	24	0	24	0.00000
Proteiniphilum propionicum	2829812	S	42	0	42	0.00000
Petrimonas mucosa	1642646	S	30	4	34	0.00000
Indolivaga capnocytophagoides	45254	S	11	0	11	0.00000
uncultured Draconibacterium sp.	1573823	S	160	0	160	0.00001
Maribellus comscasis	2681766	S	10	0	10	0.00000
Labilibaculum antarcticum	1717717	S	12	0	12	0.00000
