name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alistipes putredinis	28117	S	1540394	472818	2013212	0.11543
Alistipes onderdonkii	328813	S	1085784	206991	1292775	0.07412
Alistipes communis	2585118	S	249381	27330	276711	0.01587
Alistipes finegoldii	214856	S	194905	82302	277207	0.01589
Alistipes dispar	2585119	S	87099	11138	98237	0.00563
Alistipes ihumii	1470347	S	79965	1057	81022	0.00465
Alistipes sp. i18-0019-D1	3132707	S	48943	13517	62460	0.00358
Alistipes sp. dk3624	2662363	S	281	19	300	0.00002
Alistipes senegalensis	1288121	S	48444	8286	56730	0.00325
Alistipes shahii	328814	S	31545	24050	55595	0.00319
uncultured Alistipes sp.	538949	S	28438	1914	30352	0.00174
Alistipes indistinctus	626932	S	5810	346	6156	0.00035
uncultured Acetobacteroides sp.	1760811	S	106	0	106	0.00001
Bacteroides uniformis	820	S	311908	300247	612155	0.03510
Bacteroides eggerthii	28111	S	272829	108469	381298	0.02186
Bacteroides thetaiotaomicron	818	S	122737	31631	154368	0.00885
Bacteroides xylanisolvens	371601	S	69258	273261	342519	0.01964
Bacteroides fragilis	817	S	45226	33234	78460	0.00450
Bacteroides caccae	47678	S	41904	16119	58023	0.00333
Bacteroides hominis	2763023	S	27498	132777	160275	0.00919
Bacteroides ovatus	28116	S	20908	41984	62892	0.00361
Bacteroides stercoris	46506	S	17552	9661	27213	0.00156
Bacteroides sp. DH3716P	2847299	S	3571	30396	33967	0.00195
Bacteroides sp. A1C1	2528203	S	2143	9013	11156	0.00064
Bacteroides sp. HF-162	2785531	S	1565	11888	13453	0.00077
Bacteroides sp. CACC 737	2755405	S	531	1753	2284	0.00013
Bacteroides sp. D2	556259	S	247	259	506	0.00003
Bacteroides sp. M10	2763022	S	130	94	224	0.00001
Bacteroides sp. PHL 2737	2162637	S	91	24353	24444	0.00140
Bacteroides sp. KG123	3369153	S	35	2641	2676	0.00015
Bacteroides parvus	2763025	S	7243	41451	48694	0.00279
Bacteroides salyersiae	291644	S	3439	487	3926	0.00023
Bacteroides nordii	291645	S	2963	659	3622	0.00021
Bacteroides zhangwenhongii	2650157	S	2894	3151	6045	0.00035
Bacteroides pyogenes	310300	S	2833	331	3164	0.00018
Bacteroides caecimuris	1796613	S	2679	1252	3931	0.00023
Bacteroides cellulosilyticus	246787	S	2456	1124	3580	0.00021
Bacteroides faecis	674529	S	1996	725	2721	0.00016
Bacteroides difficilis	2763021	S	1865	1750	3615	0.00021
Bacteroides zoogleoformans	28119	S	1816	325	2141	0.00012
Bacteroides intestinalis	329854	S	1680	177	1857	0.00011
Bacteroides helcogenes	290053	S	1498	51	1549	0.00009
Bacteroides maternus	3117552	S	1377	422	1799	0.00010
Bacteroides finegoldii	338188	S	816	676	1492	0.00009
Bacteroides faecium	2715212	S	502	24	526	0.00003
Bacteroides celer	2025659	S	427	392	819	0.00005
Bacteroides luhongzhouii	2650158	S	380	90	470	0.00003
Prevotella heparinolytica	28113	S	240	55	295	0.00002
Bacteroides graminisolvens	477666	S	182	2	184	0.00001
Bacteroides mucinivorans	3096000	S	170	31	201	0.00001
uncultured Bacteroides sp.	162156	S	54	0	54	0.00000
Bacteroides sedimenti	2136147	S	49	0	49	0.00000
Phocaeicola vulgatus	821	S	769522	693348	1462870	0.08388
Phocaeicola dorei	357276	S	259090	209258	468348	0.02685
Phocaeicola coprophilus	387090	S	4525	2251	6776	0.00039
Phocaeicola salanitronis	376805	S	2287	220	2507	0.00014
Parabacteroides distasonis	823	S	102160	119571	221731	0.01271
Parabacteroides johnsonii	387661	S	89749	20849	110598	0.00634
Parabacteroides chongii	2685834	S	7587	979	8566	0.00049
Parabacteroides merdae	46503	S	6419	2284	8703	0.00050
Parabacteroides sp. ASD2025	3415987	S	4323	712	5035	0.00029
Parabacteroides sp. APC149_11_2_Y6	3372857	S	536	49	585	0.00003
Parabacteroides sp. CT06	2025876	S	186	6864	7050	0.00040
Parabacteroides goldsteinii	328812	S	3417	524	3941	0.00023
Parabacteroides absconsus	2951805	S	2186	285	2471	0.00014
Parabacteroides faecis	1217282	S	475	53	528	0.00003
Tannerella serpentiformis	712710	S	368	5	373	0.00002
Tannerella forsythia	28112	S	26	2	28	0.00000
Barnesiella intestinihominis	487174	S	134650	8645	143295	0.00822
Barnesiella sp. An22	1965590	S	49278	7409	56687	0.00325
Barnesiella viscericola	397865	S	1470	281	1751	0.00010
Coprobacter secundus	1501392	S	1725	296	2021	0.00012
Coprobacter fastidiosus	1099853	S	1150	61	1211	0.00007
Prevotella sp. oral taxon 475	712471	S	1010	188	1198	0.00007
Prevotella sp. E13-17	2913616	S	988	699	1687	0.00010
Prevotella sp. Rep29	2691580	S	735	97	832	0.00005
Prevotella sp. E2-28	2913620	S	607	338	945	0.00005
Prevotella sp. E15-22	2937774	S	315	223	538	0.00003
Prevotella sp. oral taxon 299	652716	S	266	112	378	0.00002
Prevotella sp. E9-3	2913621	S	170	108	278	0.00002
Prevotella sp.	59823	S	36	47	83	0.00000
Prevotella dentalis	52227	S	3487	1230	4717	0.00027
Prevotella denticola	28129	S	2560	5233	7793	0.00045
Prevotella communis	2913614	S	1870	585	2455	0.00014
Prevotella melaninogenica	28132	S	1337	2515	3852	0.00022
Prevotella corporis	28128	S	1312	552	1864	0.00011
Prevotella nigrescens	28133	S	774	1682	2456	0.00014
Prevotella intermedia	28131	S	741	1240	1981	0.00011
Prevotella jejuni	1177574	S	539	1253	1792	0.00010
Prevotella veroralis	28137	S	412	497	909	0.00005
Prevotella fusca	589436	S	388	513	901	0.00005
Prevotella herbatica	2801997	S	259	334	593	0.00003
Prevotella histicola	470565	S	172	120	292	0.00002
Prevotella multiformis	282402	S	152	436	588	0.00003
Prevotella bivia	28125	S	45	21	66	0.00000
Prevotella scopos	589437	S	21	66	87	0.00000
Segatella copri	165179	S	17099	4368	21467	0.00123
Segatella hominis	2518605	S	868	896	1764	0.00010
Segatella oris	28135	S	470	31	501	0.00003
Segatella baroniae	305719	S	28	488	516	0.00003
Segatella bryantii	77095	S	14	137	151	0.00001
Hoylesella enoeca	76123	S	2318	239	2557	0.00015
Hoylesella buccalis	28127	S	1966	82751	84717	0.00486
Paraprevotella xylaniphila	454155	S	991	640	1631	0.00009
Paraprevotella clara	454154	S	694	373	1067	0.00006
Xylanibacter ruminicola	839	S	1383	17	1400	0.00008
Pseudoprevotella muciniphila	2133944	S	434	3	437	0.00003
Butyricimonas virosa	544645	S	16530	2750	19280	0.00111
Butyricimonas paravirosa	1472417	S	14573	6890	21463	0.00123
Butyricimonas faecihominis	1472416	S	1431	515	1946	0.00011
Butyricimonas faecalis	2093856	S	952	411	1363	0.00008
Odoribacter splanchnicus	28118	S	31079	5979	37058	0.00212
Sodaliphilus pleomorphus	2606626	S	12323	623	12946	0.00074
Muribaculum gordoncarteri	2530390	S	2906	2441	5347	0.00031
Muribaculum intestinale	1796646	S	1532	473	2005	0.00011
Duncaniella dubosii	2518971	S	456	748	1204	0.00007
Paramuribaculum intestinale	2094151	S	1892	799	2691	0.00015
Porphyromonas pogonae	867595	S	481	29	510	0.00003
Porphyromonas sp. oral taxon 275	712435	S	225	3	228	0.00001
Porphyromonas levii	28114	S	177	3	180	0.00001
Porphyromonas gingivalis	837	S	167	1799	1966	0.00011
Porphyromonas endodontalis	28124	S	134	11	145	0.00001
Porphyromonas crevioricanis	393921	S	110	4	114	0.00001
Porphyromonas cangingivalis	36874	S	71	2	73	0.00000
Porphyromonas somerae	322095	S	70	5	75	0.00000
Porphyromonas asaccharolytica	28123	S	55	0	55	0.00000
Macellibacteroides fermentans	879969	S	74	1	75	0.00000
Proteiniphilum saccharofermentans	1642647	S	494	13	507	0.00003
Petrimonas mucosa	1642646	S	213	20	233	0.00001
Petrimonas sulfuriphila	285070	S	18	73	91	0.00001
Dysgonomonas sp. HDW5B	2714927	S	48	2	50	0.00000
Dysgonomonas sp. HDW5A	2714926	S	43	2	45	0.00000
Limibacterium fermenti	3229863	S	18	0	18	0.00000
Indolivaga capnocytophagoides	45254	S	16	0	16	0.00000
Paludibacter propionicigenes	185300	S	33	0	33	0.00000
Tenuifilum thalassicum	2590900	S	11	0	11	0.00000
Mangrovibacterium marinum	1639118	S	737	7	744	0.00004
Aquipluma nitroreducens	2010828	S	159	0	159	0.00001
uncultured Draconibacterium sp.	1573823	S	63	5	68	0.00000
Draconibacterium orientale	1168034	S	15	2	17	0.00000
Draconibacterium halophilum	2706887	S	12	1	13	0.00000
Maribellus comscasis	2681766	S	62	0	62	0.00000
Gaoshiqia hydrogeniformans	3290090	S	20	0	20	0.00000
Halosquirtibacter laminarini	3374600	S	12	0	12	0.00000
Marinifilum fragile	570161	S	128	2	130	0.00001
Marinifilum sp.	2033137	S	30	0	30	0.00000
