name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Segatella copri	165179	S	9274498	378705	9653203	0.40066
Segatella hominis	2518605	S	37634	4870	42504	0.00176
Segatella bryantii	77095	S	495	528	1023	0.00004
Segatella oris	28135	S	35	1	36	0.00000
Segatella baroniae	305719	S	15	28	43	0.00000
Paraprevotella clara	454154	S	127737	12982	140719	0.00584
Paraprevotella xylaniphila	454155	S	27307	3780	31087	0.00129
Prevotella jejuni	1177574	S	1249	388	1637	0.00007
Prevotella intermedia	28131	S	388	93	481	0.00002
Prevotella corporis	28128	S	322	24	346	0.00001
Prevotella melaninogenica	28132	S	296	74	370	0.00002
Prevotella communis	2913614	S	290	12	302	0.00001
Prevotella multiformis	282402	S	222	82	304	0.00001
Prevotella sp. E9-3	2913621	S	24	4	28	0.00000
Prevotella sp. Rep29	2691580	S	21	0	21	0.00000
Prevotella sp. E13-17	2913616	S	18	3	21	0.00000
Prevotella sp.	59823	S	14	2	16	0.00000
Prevotella sp. oral taxon 299	652716	S	13	0	13	0.00000
Prevotella sp. E2-28	2913620	S	11	1	12	0.00000
Prevotella sp. E15-22	2937774	S	11	1	12	0.00000
Prevotella dentalis	52227	S	68	4	72	0.00000
Prevotella denticola	28129	S	63	17	80	0.00000
Prevotella bivia	28125	S	61	4	65	0.00000
Prevotella scopos	589437	S	34	14	48	0.00000
Prevotella fusca	589436	S	24	4	28	0.00000
Prevotella nigrescens	28133	S	20	5	25	0.00000
Prevotella herbatica	2801997	S	19	3	22	0.00000
Prevotella histicola	470565	S	14	1	15	0.00000
Hoylesella buccalis	28127	S	69	96	165	0.00001
Hoylesella enoeca	76123	S	23	1	24	0.00000
Xylanibacter ruminicola	839	S	77	0	77	0.00000
Bacteroides uniformis	820	S	354264	280920	635184	0.02636
Bacteroides thetaiotaomicron	818	S	173423	29352	202775	0.00842
Bacteroides stercoris	46506	S	116110	24534	140644	0.00584
Bacteroides salyersiae	291644	S	99982	6247	106229	0.00441
Bacteroides intestinalis	329854	S	76380	10470	86850	0.00360
Bacteroides caccae	47678	S	69033	10594	79627	0.00330
Bacteroides xylanisolvens	371601	S	30677	52841	83518	0.00347
Bacteroides ovatus	28116	S	28514	77500	106014	0.00440
Bacteroides fragilis	817	S	18773	15786	34559	0.00143
Bacteroides sp. A1C1	2528203	S	2810	15841	18651	0.00077
Bacteroides sp. HF-162	2785531	S	1543	13553	15096	0.00063
Bacteroides sp. CACC 737	2755405	S	1103	4840	5943	0.00025
Bacteroides sp. M10	2763022	S	453	429	882	0.00004
Bacteroides sp. DH3716P	2847299	S	418	4862	5280	0.00022
Bacteroides sp. D2	556259	S	354	615	969	0.00004
Bacteroides sp. KG122	3397827	S	42	25275	25317	0.00105
Bacteroides cellulosilyticus	246787	S	5504	3214	8718	0.00036
Bacteroides zhangwenhongii	2650157	S	4092	4681	8773	0.00036
Bacteroides caecimuris	1796613	S	4011	1486	5497	0.00023
