"","SRR8146935","SRR8146936","SRR8146938","SRR8146951","SRR8146952","SRR8146954"
"Thermaerobacter sp. PB12/4term",89,0,75,0,38,60
"Thermaerobacter marianensis",59,0,40,0,0,0
"Levyella massiliensis",91,21,47,101,47,21
"Proteiniborus sp. MB09-C3",42,0,41,20,46,34
"Agathobaculum massiliense",6224,908,2401,229,3589,665
"Agathobaculum sp. NTUH-O15-33",865,370,1143,312,941,436
"Intestinibacillus sp. NTUH-41-i26",7372,1029,1723,598,3049,547
"Butyricicoccus porcorum",1138,106,8970,677,2402,2134
"Butyricicoccus sp. GAM44",31,23,185,490,1008,78
"Clostridium sp. M62/1",7122,1741,9987,187105,9767,4478
"Clostridium sp. SY8519",256,49,302,523,1157,359
"Clostridium sp. BJN0013",142,0,47,208,32,50
"Clostridium sp. ETTB3",84,28164,31,3506,8347,14150
"Clostridium sp. MD294",73,10,252,89,71,54
"Clostridium sp. C1",116,80,210,42,831,405
"Clostridium sp. JNZ J1-5",19,34,14,17,66,21
"Clostridium sp. OS1-26",19,0,91,76,63,67
"Clostridium sp. HCS.1",17,35,23,744,161,72
"Clostridium sp. JN-9",17,26,11,29,50,35
"Clostridium sp.",13,0,0,18,101,23
"Clostridium sp. JN-1",12,0,14,23,39,15
"Clostridium sp. BNL1100",11,0,32,21,43,40
"[Clostridium] innocuum",2465,579,10760,3110,4287,2697
"Clostridium perfringens",609,226,470,2566,1885,1911
"Clostridium intestinale",175,56,91,451,45,101
"Clostridium cadaveris",127,27,541,317,995,551
"Clostridium cochlearium",54,12,30,49,186,30
"Clostridium pasteurianum",49,0,67,102,84,61
"Clostridium isatidis",40,0,42,53,58,62
"Clostridium estertheticum",38,23,44,381,144,112
"Clostridium saccharoperbutylacetonicum",35,79,16,193,40,33
"Clostridium culturomicium",33,77,51,60,18,20
"Clostridium botulinum",32,58,42,226,162,115
"Clostridium tertium",27,0,45,68,62,49
"Clostridium manihotivorum",25,0,20,72,37,20
"Clostridium thermosuccinogenes",23,0,157,43,28,125
"Clostridium tetani",24,0,48,40,108,32
"Clostridium autoethanogenum",38,0,0,0,0,0
"Clostridium cellulovorans",17,44,26,55,29,49
"Clostridium tagluense",14,0,0,18,71,24
"Clostridium kluyveri",12,0,19,25,13,29
"Clostridium novyi",11,0,11,27,19,0
"Clostridium acetobutylicum",11,16,0,44,0,19
"Clostridium bornimense",10,17,0,75,55,158
"Lactonifactor longoviformis",389,134,664,961,1212,394
"Proteiniclasticum sp. QWL-01",144,0,152,105,35,61
"Oceanirhabdus sp. W0125-5",34,0,18,26,64,18
"Caloramator sp. mosi_1",11,0,0,19,15,28
"Candidatus Arthromitus sp. SFB-rat-Yit",21,38,0,70,0,14
"Wukongibacter baidiensis",10,14,0,45,23,24
"Crassaminicella profunda",11,26,12,22,32,31
"Candidatus Sarcina troglodytae",12,0,33,65,14,33
"Hathewaya histolytica",11,19,0,183,12,19
"Aristaeella hokkaidonensis",3973,34,2440,311,230,474
"Aristaeella lactis",1828,21,2129,1192,254,484
"Eubacterium ramulus",2206,1427,5822,20537,79434,13154
"Eubacterium ventriosum",1690,1567,3575,2760,10844,8699
"Eubacterium callanderi",989,315,3617,2452,6866,1439
"Eubacterium sp. MSJ-33",392,31,4673,2182,34883,3269
"Eubacterium sp. F2",157,114,168,644,256,7465
"Eubacterium maltosivorans",377,108,845,95,1159,185
"Eubacterium limosum",161,149,551,88,159,109
"Pseudoramibacter alactolyticus",211,0,275,55,71,80
"Acetobacterium malicum",39,0,66,0,51,38
"Acetobacterium wieringae",30,0,54,49,46,47
"Alkalibacter rhizosphaerae",45,0,136,23,69,33
"Anaerofustis stercorihominis",17,13,240,27,124,26
"Acutalibacter muris",909,200,1556,259,336,827
"Caproiciproducens sp. LBM24188",200,76,683,195,497,168
"Caproiciproducens sp. CPB-2",166,0,328,163,126,0
"Caproiciproducens puteiluti",513,79,384,188,128,124
"Caproiciproducens lactatisolvens",112,0,598,0,130,114
"Caproicibacter fermentans",391,21,631,143,141,138
"Dehalobacter sp. DCM",71,0,212,29,65,10
"Dehalobacter restrictus",51,0,0,0,0,0
"Desulfitobacterium dehalogenans",22,0,38,0,0,49
"Desulfitobacterium dichloroeliminans",17,0,0,0,0,0
"Desulfitobacterium sp. AusDCA",22,23,73,0,15,72
"Desulfosporosinus meridiei",19,0,0,16,19,0
"Desulfosporosinus orientis",16,0,33,35,34,20
"Desulfosporosinus acidiphilus",14,0,23,31,112,0
"Syntrophobotulus glycolicus",17,0,24,0,0,14
"Desulforamulus reducens",33,0,89,0,0,0
"Desulforamulus ruminis",26,0,196,10,23,37
"Desulforamulus ferrireducens",10,0,70,0,19,16
"Desulfofundulus kuznetsovii",39,0,32,33,11,13
"Acididesulfobacillus acetoxydans",21,0,21,0,24,43
"Thermanaerosceptrum fracticalcis",18,0,28,0,11,0
"Candidatus Formimonas warabiya",18,66,50,12,44,10
"Heliomicrobium modesticaldum",132,16,211,119,41,43
"Heliorestis convoluta",51,0,340,0,0,10
"Candidatus Syntrophocurvum alkaliphilum",74,0,0,0,0,0
"Syntrophothermus lipocalidus",32,0,23,18,0,14
"Syntrophomonas curvata",18,0,78,17,13,37
"Symbiobacterium thermophilum",35,0,118,0,34,15
"Caldinitratiruptor microaerophilus",23,17,281,56,43,45
"Tianxiuia mixotrophica",14,0,171,16,48,15
"Thermincola potens",25,27,26,0,21,12
"Desulfoscipio gibsoniae",20,0,47,10,11,12
"Desulfotomaculum nigrificans",19,0,17,0,74,26
"Lachnospira eligens",116805,1139,95546,101198,198609,113862
"Simiaoa sunii",114619,883,58778,75404,124414,72388
"Roseburia faecis",53928,1641,16924,249455,664487,1021223
"Roseburia hominis",17499,8139,39220,24117,158813,25149
"Roseburia intestinalis",23319,4761,21145,42384,90905,51043
"Roseburia sp. 831b",1147,153,561,1454,4525,3713
"Roseburia sp. 499",738,182,496,2335,4232,1553
"Roseburia rectibacter",1150,282,683,16066,8712,4963
"Agathobacter rectalis",94612,3361,449097,229705,319943,1950645
"Blautia obeum",26536,2320,28541,526361,143504,62857
"Blautia wexlerae",21396,8311,34699,12672907,314088,208459
"Blautia luti",6109,359,8301,195447,38792,24241
"Blautia massiliensis (ex Durand et al. 2017)",22836,4517,37174,162885,71523,87832
"Blautia producta",2152,359,2942,8700,3827,2234
"Blautia sp. SC05B48",3579,1168,5502,46666,23874,31386
"Blautia hansenii",1457,720,1710,2122,1782,1704
"Blautia hydrogenotrophica",718,1394,8698,5008,823,433
"Blautia pseudococcoides",416,113,483,1883,645,801
"Blautia argi",446,196,274,1593,1071,1024
"Blautia liquoris",294,97,176,914,790,381
"Blautia parvula",305,179,288,1906,612,420
"Mediterraneibacter gnavus",22270,21748,24551,163831,75565,49887
"[Ruminococcus] lactaris",15224,337,18840,12021,133020,3775
"[Ruminococcus] torques",13054,7556,9357,167862,107836,51611
"Mediterraneibacter glycyrrhizinilyticus",833,1349,818,2415,2183,1346
"Mediterraneibacter faecis",1164,2271,2942,42476,68346,28554
"Enterocloster lavalensis",15745,1310,1503,572,5033,590
"Enterocloster asparagiformis",10155,413,3915,1176,4175,3349
"Enterocloster bolteae",4199,7883,2524,6092,4578,1441
"Enterocloster clostridioformis",2675,3160,2852,17130,3545,4472
"Coprococcus sp. ART55/1",19488,316,23315,9553,7129,7012
"Coprococcus eutactus",3562,111,149460,6081,11279,23686
"Dorea formicigenerans",12500,1151,7428,45529,92764,72285
"Dorea amylophila",7994,1650,6174,20244,11659,11863
"Dorea longicatena",5212,4689,39000,108060,298951,183702
"Allocoprococcus comes",13313,517,8934,161351,86663,90831
"Anaerobutyricum hallii",11078,631,14577,1822585,297786,80735
"Anaerostipes hadrus",5911,1512,7284,1816029,101231,221366
"Anaerostipes caccae",210,45,272,2563,318,511
"Anaerostipes rhamnosivorans",105,117,246,309,434,233
"Anaerostipes sp. PC18",88,12,162,227,390,244
"Hungatella hathewayi",2400,1533,2564,5156,2756,1760
"Hungatella sp. SB206",2286,822,1968,3004,3440,2004
"Sellimonas catena",2479,252,8342,4799,6687,9674
"Sellimonas intestinalis",777,138,2428,4439,1227,1084
"Sellimonas caecigallum",380,81,942,925,986,1036
"[Clostridium] scindens",2127,349,4539,12819,9303,2952
"[Clostridium] hylemonae",454,139,2112,888,2922,528
"Lachnoclostridium phytofermentans",92,34,106,237,501,311
"Eisenbergiella porci",2447,316,6726,4602,2059,2058
"Eshraghiella crossota",2181,191,1937,5465,5154,6807
"Jutongia sp. SJQ-6",1771,92,1058,179366,33305,3147
"Wansuia hejianensis",1700,117,1999,7864,2472,2191
"Lacrimispora saccharolytica",514,202,1028,950,1226,464
"Lacrimispora sp. HJ-01",339,125,340,436,779,445
"Lacrimispora sp. BS-2",142,92,99,525,205,206
"Lacrimispora sinapis",182,127,154,209,417,339
"Lacrimispora xylanolytica",145,101,241,333,263,268
"Lacrimispora xylanisolvens",144,112,176,440,539,410
"Lacrimispora sphenoides",110,129,64,150,251,149
"Wujia chipingensis",1892,241,88306,2959,983319,8501
"Claveliimonas bilis",1155,131,1854,1790,2526,1173
"Butyrivibrio fibrisolvens",316,71,312,542,669,783
"Butyrivibrio sp. JL13D10",249,11,337,514,510,711
"Butyrivibrio proteoclasticus",105,20,180,359,466,602
"Butyrivibrio hungatei",91,95,74,291,348,277
"Marvinbryantia formatexigens",676,213,1891,1903,925,1339
"Hominifimenecus sp. rT4P-3",575,72,301,282,294,523
"Chordicoccus furentiruminis",553,163,928,399,681,391
"[Clostridium] symbiosum",595,5172,582,1683,1379,518
"Pseudobutyrivibrio ruminis",314,45,435,358,681,629
"Pseudobutyrivibrio xylanivorans",132,21,102,778,452,486
"Anaerocolumna sp. MB42-C2",74,22,66,391,362,348
"Anaerocolumna sp. AGMB13025",54,0,93,228,250,191
"Anaerocolumna sp. AGMB13020",38,19,88,330,281,282
"Anaerocolumna chitinilytica",67,20,53,193,224,156
"Anaerocolumna cellulosilytica",59,0,55,175,232,238
"Anaerocolumna sedimenticola",73,49,96,286,163,403
"Stomatobaculum sp. F0698",343,70,268,532,409,281
"Kineothrix sedimenti",216,30,396,261,536,181
"Kineothrix sp. MB12-C1",121,24,84,282,332,265
"Qiania dongpingensis",334,156,2071,757,685,990
"Novisyntrophococcus fermenticellae",253,40,410,578,632,661
"Faecalimonas umbilicata",306,14957,217,1836,1214,1165
"Lachnoanaerobaculum gingivalis",134,55,186,495,324,361
"Lachnoanaerobaculum umeaense",101,42,131,122,204,235
"Herbinix luporum",79,36,108,575,148,119
"Chakrabartyella piscis",70,13,74,101,186,66
"Anaeromicropila herbilytica",33,26,58,155,443,355
"Anaeropeptidivorans aminofermentans",21,16,87,33,59,81
"Anaerotignum propionicum",61,0,59,29,77,204
"Anaerotignum sp. MB30-C6",61,15,170,82,138,90
"Cellulosilyticum sp. WCF-2",77,16,0,129,94,161
"Vallitalea guaymasensis",38,13,77,56,84,161
"Vallitalea pronyensis",14,0,31,34,37,87
"Petrocella atlantisensis",14,0,132,102,39,24
"Ihubacter sp. rT4E-8",18381,0,1080,92,584,980
"Emergencia sp. JLR.KK010",160,27,304,1186,252,163
"Emergencia timonensis",100,52,146,108,120,206
"Mogibacterium neglectum",74,0,18,200,29,52
"Mogibacterium pumilum",52,0,37,64,86,49
"Mogibacterium diversum",27,0,62,1698,80,110
"Aminipila butyrica",72,42,105,125,40,56
"Aminipila luticellarii",33,12,545,58,56,70
"Aminipila terrae",10,22,25,43,83,61
"Anoxybacterium hadale",22,11,111,50,48,55
"Clostridioides difficile",7494,2248,14828,4241,17001,18730
"Paraclostridium dentum",73,0,55,59,34,44
"Paraclostridium sordellii",31,56,64,281,54,115
"Paraclostridium bifermentans",13,0,0,185,27,62
"Paraclostridium ghonii",11,68,0,106,12,85
"Romboutsia ilealis",35,12,74,17479,1052,4200
"Peptostreptococcus anaerobius",29,22,121,259,126,115
"Alkaliphilus metalliredigens",37,0,36,41,24,0
"Geosporobacter ferrireducens",58,11,23,27,17,18
"Filifactor alocis",56,74,154,371,97,81
"Peptoclostridium acidaminophilum",14,0,32,29,11,19
"Christensenella massiliensis",4307,83,5974,207,742,1364
"Christensenella sp. MSJ-20",429,17,2929,108,136,756
"Christensenella minuta",85,0,595,1573,159,433
"Moorella sp. Hama-1",141,0,52,0,0,10
"Neomoorella thermoacetica",111,0,55,0,17,12
"Neomoorella humiferrea",95,15,48,0,0,0
"Neomoorella glycerini",86,0,40,35,40,45
"Neomoorella carbonis",115,0,0,0,0,0
"Gelria sp. Kuro-4",138,0,121,17,0,15
"Thermacetogenium phaeum",93,0,67,95,27,17
"Thermoanaerobacterium thermosaccharolyticum",35,0,58,0,105,14
"Desulforudis sp. Tu-874",16,13,81,57,27,0
"Monoglobus pectinilyticus",82,19,1037,984,100,284
"Acetivibrio thermocellus",14,0,73,19,19,28
"Acetivibrio clariflavus",14,0,20,23,138,25
"Acetivibrio saccincola",13,0,12,28,51,0
"Biomaibacter acetigenes",18,0,13,26,12,0
"Mahella australiensis",25,0,89,16,35,0
"Mitsuokella multacida",62545,116,450,621,645769,839710
"Selenomonas sp.",1944,172,116,47,515,1308
"Selenomonas sp. oral taxon 126",242,0,112,31,198,170
"Selenomonas sp. TAMA-11512",143,342,47,0,55,88
"Selenomonas sp. oral taxon 478",273,0,124,0,0,95
"Selenomonas sp. oral taxon 920",60,0,218,32,60,16
"Selenomonas sp. oral taxon 136",81,0,0,0,99,0
"Selenomonas sputigena",842,18,619,219,440,482
"Selenomonas ruminantium",293,10,117,102,113,108
"Selenomonas dianae",275,14,111,0,140,21
"Selenomonas timonae",178,14,66,32,117,153
"Megamonas hypermegale",235,22,305,267,96,59
"Megamonas funiformis",13,155,34,43,36,1246
"Pectinatus frisingensis",20,0,21,0,0,0
"Sporomusa rhizae",162,65,49,0,0,24
"Sporomusa termitida",83,0,105,13,23,54
"Sporomusa acidovorans",94,0,171,0,89,26
"Sporomusa sphaeroides",120,16,0,0,147,0
"Anaerosinus gibii",45,17,53,37,39,70
"Dialister sp.",2540,0,2329,88,25696,322
"Dialister hominis",1061,218,1231,145,3603,856225
"Dialister succinatiphilus",1718,50,1342,177,241213,3594
"Dialister pneumosintes",516,0,606,59,151,25
"Veillonella parvula",1131,44,1797,1071,758,987
"Veillonella dispar",795,0,58,72,26,240
"Veillonella rogosae",440,36,1079,299,340,5746
"Veillonella atypica",383,0,129,266,44,274
"Veillonella nakazawae",626,0,104,289,64,319
"Veillonella orientalis",369,0,64,120,35,265
"Veillonella rodentium",125,0,18,22,22,19
"Megasphaera coli",614,0,1179,35,10,32
"Megasphaera elsdenii",704,160,405,59,1876,719
"Megasphaera hexanoica",245,103,50,23,58,117
"Megasphaera stantonii",171,0,205,62,142,118
"Megasphaera sp.",239,0,83,0,42,203
"Megasphaera massiliensis",102,0,53,53,683,51
"Acidaminococcus intestini",1564,112,51278,78,449,240
"Acidaminococcus fermentans",325,5101,116,0,2346,485
"Acidaminococcus timonensis",74,1255,76,57,374,889
"Phascolarctobacterium faecium",406,356,5317,76,601,3286
"Phascolarctobacterium sp. Marseille-Q4147",214,59392,482,803,178,358
"Phascolarctobacterium succinatutens",164,1252052,110,1705,247,414
"Streptococcus thermophilus",1792,35,1665,5521,1090,1342
"Streptococcus sp. ZY1909104",169,22,112,557,550,106
"Streptococcus sp. FSL K6-1323",719,0,159,1675,231,232
"Streptococcus sp. LPB0220",92,78,30,3032,74,521
"Streptococcus sp. oral taxon 061",50,23,14,900,69,58
"Streptococcus sp. KHUD_012",58,74,27,3428,119,441
"Streptococcus sp. CP1998",49,0,22,1604,95,232
"Streptococcus sp. KHUD_017",27,0,42,1210,70,121
"Streptococcus parasanguinis",399,220,296,19155,1402,8636
"Streptococcus salivarius",442,865,4066,71071,11246,21075
"Streptococcus suis",353,101,820,528,2787,3963
"Streptococcus sanguinis",182,130,494,6128,708,687
"Streptococcus pantholopis",146,0,254,26,0,0
"Streptococcus merionis",76,0,73,20,0,0
"Streptococcus parasuis",89,28,50,602,654,131
"Streptococcus pasteurianus",293,0,309,546,471,285
"Streptococcus oralis",95,43,40,6863,405,255
"Streptococcus mitis",64,19,44,3741,404,276
"Streptococcus cristatus",49,0,47,1043,49,46
"Streptococcus vestibularis",60,22,92,31800,225,131
"Streptococcus lingualis",78,37,0,2669,63,441
"Streptococcus equinus",36,14,19,198,61,377
"Streptococcus canis",25,0,35,38,15,88
"Streptococcus lutetiensis",38,0,0,248,123,62
"Streptococcus pneumoniae",34,0,147,1333,104,155
"Streptococcus dysgalactiae",133,0,0,227,81,256
"Streptococcus iners",23,0,0,0,0,0
"Streptococcus infantis",21,0,0,534,64,44
"Streptococcus dentalis",43,21,0,1591,87,290
"Streptococcus ilei",38,0,64,1149,163,1099
"Streptococcus agalactiae",98,1669,700,3974,3208,926
"Streptococcus australis",26,19,277,1771,330,316
"Streptococcus gordonii",11,15,39,4817,345,45
"Streptococcus oriscaviae",10,0,21,15,18,0
"Lactococcus sp.",377,0,122,0,0,0
"Lactococcus lactis",68,1811,170,2620,86,453
"Lactococcus petauri",68,0,85,53,75,347
"Lactococcus cremoris",62,0,120,2921,76,3431
"Lactococcus allomyrinae",13,0,0,11,0,0
"Pseudolactococcus raffinolactis",20,30,82,143,39,48
"Enterococcus faecium",1867,786,9663,2701,4874,1618
"Enterococcus faecalis",1349,472,160,338,270,61
"Enterococcus cecorum",71,13,51,209,135,75
"Enterococcus sp. AZ170",35,88,0,0,0,0
"Enterococcus sp. DIV0210g",20,0,10,0,0,10
"Enterococcus casseliflavus",62,0,64,15,680,31
"Enterococcus durans",15,0,0,141,133,0
"Enterococcus avium",10,0,0,12,12,20
"Vagococcus hydrophili",50,0,0,0,0,0
"Vagococcus xieshaowenii",17,0,0,51,0,0
"Tetragenococcus osmophilus",61,0,18,0,0,0
"Melissococcus plutonius",14,0,0,0,90,0
"Ligilactobacillus ruminis",199,23,596,417,451,612
"Ligilactobacillus murinus",128,0,29,39,53,1040
"Ligilactobacillus saerimneri",15,0,142,0,0,11
"Lactobacillus iners",92,0,15,99,40,34
"Lactobacillus delbrueckii",110,0,130,52,26,51
"Lactobacillus amylovorus",29,0,0,20,30,0
"Lactobacillus crispatus",18,0,0,11,0,0
"Lacticaseibacillus manihotivorans",98,0,42,14,0,0
"Lacticaseibacillus pabuli",35,0,0,14,0,35
"Lacticaseibacillus paracasei",38,0,171,426,26,39
"Limosilactobacillus reuteri",113,15,115,25,737,98
"Limosilactobacillus fermentum",28,0,85,132,341,82
"Limosilactobacillus mucosae",20,0,6974,324,206,0
"Levilactobacillus brevis",61,0,88,18,65,41
"Companilactobacillus alimentarius",22,0,0,0,10,0
"Companilactobacillus sp. DQM5",10,0,0,14,0,0
"Leuconostoc lactis",40,0,25,130,0,0
"Pediococcus pentosaceus",12,0,0,0,0,22
"Pediococcus argentinicus",11,0,18,17,26,0
"Pediococcus acidilactici",12,0,0,0,0,0
"Fructilactobacillus ixorae",26,0,43,0,0,0
"Loigolactobacillus coryniformis",28,0,45,0,0,0
"Loigolactobacillus bifermentans",12,0,21,23,0,0
"Schleiferilactobacillus harbinensis",22,0,18,14,0,14
"Paucilactobacillus nenjiangensis",20,0,0,0,0,0
"Agrilactobacillus fermenti",19,0,20,0,43,0
"Trichococcus flocculiformis",56,0,15,0,0,0
"Trichococcus shcherbakoviae",34,0,10,18,29,16
"Granulicatella adiacens",28,23,29,2355,350,147
"Alloiococcus sp. CFN-8",27,0,23,30,38,70
"Ignavigranum ruoffiae",91,0,0,72,33,30
"Ruoffia tabacinasalis",14,0,0,0,15,0
"Paenibacillus sp. FSL R7-0345",239,0,170,15,134,18
"Paenibacillus sp. S-38",238,0,31,80,11,0
"Paenibacillus sp. FSL H3-0469",359,0,0,87,25,0
"Paenibacillus sp. JNUCC31",230,0,91,88,47,51
"Paenibacillus sp. DYY-L-2",121,0,132,107,36,25
"Paenibacillus sp. FSL K6-1096",104,0,102,11,23,52
"Paenibacillus sp. 32O-W",75,0,115,0,15,0
"Paenibacillus sp. FSL W8-0426",44,0,22,0,14,0
"Paenibacillus sp. URB8-2",60,10,25,0,17,12
"Paenibacillus sp. FSL R7-0273",47,0,50,71,0,19
"Paenibacillus sp. FSL R7-0272",50,0,0,0,0,0
"Paenibacillus sp. FSL R7-0216",35,0,46,33,34,28
"Paenibacillus sp. FSL W8-0194",35,14,46,0,0,0
"Paenibacillus sp. FSL K6-2441",33,0,81,0,23,0
"Paenibacillus sp. JDR-2",44,0,42,25,0,0
"Paenibacillus sp. FSL R10-2782",85,0,0,33,0,0
"Paenibacillus sp. SYP-B4298",25,22,35,36,13,34
"Paenibacillus sp. FSL R7-0331",32,0,54,0,14,15
"Paenibacillus sp. N3/727",98,0,50,71,0,0
"Paenibacillus sp. SN-8-1",23,0,36,0,0,16
"Paenibacillus sp. PK3_47",15,0,39,27,36,45
"Paenibacillus sp. MMS20-IR301",16,0,23,0,0,0
"Paenibacillus sp. FSL P2-0089",85,0,274,0,0,0
"Paenibacillus sp. BR2-3",13,0,16,0,25,10
"Paenibacillus sp. Z6-24",13,0,32,21,0,0
"Paenibacillus sp. PSB04",142,0,133,0,0,0
"Paenibacillus sp. R14(2021)",12,0,31,0,0,53
"Paenibacillus sp. RUD330",11,0,40,0,16,0
"Paenibacillus sp. MBLB4367",10,0,28,0,24,0
"Paenibacillus sp. PAMC21692",33,0,33,0,0,0
"Paenibacillus brasilensis",326,0,115,20,0,0
"Paenibacillus donghaensis",117,10,87,102,23,30
"Paenibacillus chitinolyticus",105,0,153,22,34,29
"Paenibacillus crassostreae",59,0,0,19,13,14
"Paenibacillus lycopersici",57,0,16,310,0,0
"Paenibacillus elgii",42,74,22,34,22,0
"Paenibacillus algicola",42,0,26,0,65,0
"Paenibacillus albicereus",62,0,100,28,0,27
"Paenibacillus borealis",85,0,37,0,0,41
"Paenibacillus chondroitinus",94,0,0,0,0,0
"Paenibacillus bovis",35,0,0,0,0,0
"Paenibacillus cellulositrophicus",195,58,57,54,74,168
"Paenibacillus psychroresistens",28,23,0,11,0,32
"Paenibacillus sophorae",56,0,16,0,0,0
"Paenibacillus protaetiae",27,0,0,0,0,0
"Paenibacillus durus",45,0,72,35,17,0
"Paenibacillus hunanensis",26,0,17,10,0,0
"Paenibacillus melissococcoides",64,0,0,0,0,14
"Paenibacillus macerans",22,0,114,39,11,0
"Paenibacillus azoreducens",21,78,17,22,0,0
"Paenibacillus lentus",21,0,13,0,18,20
"Paenibacillus stellifer",23,31,15,12,12,0
"Paenibacillus silvisoli",19,0,100,45,0,18
"Paenibacillus thiaminolyticus",40,0,25,13,30,54
"Paenibacillus aurantius",18,0,98,0,0,0
"Paenibacillus cellulosilyticus",16,0,21,0,0,18
"Paenibacillus beijingensis",14,0,21,0,19,0
"Paenibacillus alvei",11,0,12,10,10,0
"Paenibacillus woosongensis",42,0,0,0,0,0
"Brevibacillus centrosporus",132,0,31,0,0,0
"Brevibacillus sp. WF146",67,12,22,0,255,0
"Brevibacillus sp. TJ4",29,11,28,0,0,0
"Brevibacillus ruminantium",69,0,126,0,30,0
"Brevibacillus composti",58,0,101,0,0,14
"Brevibacillus brevis",70,91,113,98,37,22
"Brevibacillus marinus",25,0,38,20,14,0
"Brevibacillus fluminis",17,0,30,0,20,0
"Brevibacillus fortis",37,0,0,0,0,18
"Brevibacillus agri",154,0,0,0,0,0
"Brevibacillus humidisoli",11,0,26,62,0,0
"Cohnella herbarum",112,0,13,0,0,52
"Cohnella sp. LGH",78,0,58,28,22,0
"Cohnella candida",34,15,100,23,48,15
"Aneurinibacillus uraniidurans",136,0,121,55,0,0
"Thermobacillus composti",71,25,140,21,73,15
"Saccharibacillus brassicae",18,118,108,28,0,0
"Bacillus amyloliquefaciens",240,0,253,113,0,140
"Bacillus subtilis",96,0,107,0,0,0
"Bacillus sp. KH172YL63",16,0,0,0,0,0
"Bacillus sp. NEB1478",11,0,10,0,11,15
"Bacillus mycoides",27,0,23,35,24,0
"Bacillus cereus",1169,544,1857,1545,1752,1758
"Bacillus safensis",12,0,0,40,0,0
"Neobacillus sp. OS1-32",26,0,27,13,0,0
"Neobacillus sp. C211",50,0,0,15,27,0
"Neobacillus sp. PS2-9",18,0,0,0,0,0
"Neobacillus sp. FSL H8-0543",14,0,102,0,24,10
"Neobacillus sp. PS3-40",11,14,0,47,0,0
"Neobacillus novalis",103,72,162,0,0,13
"Neobacillus niacini",55,0,0,0,0,0
"Neobacillus mesonae",28,0,34,0,0,20
"Neobacillus phoenicis",22,0,0,15,0,16
"Neobacillus drentensis",15,0,0,0,0,0
"Salimicrobium sp. PL1-032A",118,0,96,10,33,12
"Lysinibacillus sp. 2017",18,0,0,25,0,0
"Lysinibacillus xylanilyticus",31,0,0,0,88,0
"Lysinibacillus canaveralius",14,0,0,0,0,0
"Lysinibacillus agricola",14,0,0,0,11,0
"Peribacillus frigoritolerans",38,11,49,95,64,24
"Peribacillus asahii",23,0,0,12,0,0
"Peribacillus sp. B-H-3",16,0,0,25,12,0
"Niallia sp. Man26",44,0,0,20,12,0
"Oceanobacillus sp. FSL H7-0719",28,0,0,84,0,0
"Oceanobacillus sp. FSL K6-3682",27,0,0,0,0,0
"Sutcliffiella horikoshii",53,10,19,95,42,84
"Sutcliffiella sp. FSL R7-0096",22,0,0,0,0,0
"Rossellomorea marisflavi",29,128,132,37,35,82
"Rossellomorea sp. KS-H15a",19,0,0,0,0,0
"Priestia megaterium",48,58,51,72,81,39
"Psychrobacillus sp. FSL W7-1457",28,0,0,0,0,0
"Psychrobacillus sp. BM2",12,0,0,0,0,0
"Heyndrickxia vini",35,0,0,0,0,0
"Mesobacillus jeotgali",26,0,25,23,15,29
"Salisediminibacterium beveridgei",22,0,10,16,11,57
"Salisediminibacterium selenitireducens",10,13,17,10,0,16
"Cytobacillus firmus",12,0,23,0,44,0
"Sediminibacillus dalangtanensis",18,0,26,25,23,0
"Tepidibacillus marianensis",15,57,33,14,0,13
"Aciduricibacillus chroicocephali",13,0,13,13,0,0
"Schinkia sp. CFF1",10,0,0,32,25,0
"Planococcus koreensis",111,0,14,0,0,0
"Planococcus glaciei",47,0,0,0,21,0
"Planococcus sp. 107-1",17,0,0,0,0,34
"Planococcus sp. X10-3",13,0,40,0,0,26
"Planococcus lenghuensis",19,0,0,0,19,0
"Sporosarcina sp. Marseille-Q4943",63,0,35,0,25,0
"Sporosarcina sp. UB5",20,0,0,504,0,0
"Sporosarcina sp. ANT_H38",17,0,0,26,0,0
"Sporosarcina sp. FSL W8-0480",17,0,0,0,0,0
"Sporosarcina ureae",20,0,11,32,25,25
"Sporosarcina trichiuri",15,0,0,0,19,0
"Ureibacillus thermophilus",28,0,16,17,0,17
"Solibacillus sp. FSL H8-0523",18,0,0,0,0,0
"Paenisporosarcina sp. FSL H8-0542",28,0,35,21,0,0
"Jeotgalibacillus malaysiensis",18,0,23,59,10,0
"Staphylococcus epidermidis",77,80,31,11,42,0
"Staphylococcus rostri",60,0,53,0,0,0
"Staphylococcus aureus",210,0,178,506,233,593
"Staphylococcus caprae",31,0,0,0,15,0
"Staphylococcus pseudintermedius",24,55,53,51,50,39
"Staphylococcus capitis",27,35,11,23,0,0
"Staphylococcus carnosus",16,0,0,0,0,0
"Salinicoccus sp. Marseille-QA3877",14,0,0,0,0,23
"Mammaliicoccus sciuri",11,0,31,50,19,26
"Geobacillus sp. GHH01",161,337,0,0,0,0
"Anoxybacillus flavithermus",31,0,0,85,58,0
"Alicyclobacillus acidocaldarius",40,0,104,0,23,33
"Alicyclobacillus cycloheptanicus",16,0,25,0,27,27
"Alicyclobacillus acidoterrestris",14,0,39,33,65,37
"Alicyclobacillus fastidiosus",13,0,23,33,12,33
"Tumebacillus avium",22,16,117,84,23,61
"Effusibacillus dendaii",18,0,19,0,34,0
