"","SRR8146935","SRR8146936","SRR8146938","SRR8146951","SRR8146952","SRR8146954"
"Sodaliphilus pleomorphus",12946,1780,1858,141,27,121
"Muribaculum gordoncarteri",5347,4806,1361,173,34,28
"Muribaculum intestinale",2005,21,1778,108,52,134
"Duncaniella dubosii",1204,1855,395,360,187,38
"Paramuribaculum intestinale",2691,40,1116,108,60,21
"Porphyromonas pogonae",510,0,446,0,0,0
"Porphyromonas sp. oral taxon 275",228,165,791,0,17,67
"Porphyromonas levii",180,579,372,22,39,39
"Porphyromonas gingivalis",1966,206,1083,42,37,132
"Porphyromonas endodontalis",145,0,146,15,0,0
"Porphyromonas crevioricanis",114,0,337,34,19,0
"Porphyromonas cangingivalis",73,0,181,0,13,0
"Porphyromonas somerae",75,17,42,11,15,0
"Porphyromonas asaccharolytica",55,365,43,11,0,0
"Macellibacteroides fermentans",75,25,494,52,16,24
"Proteiniphilum saccharofermentans",507,54,219,30,15,0
"Petrimonas mucosa",233,0,571,0,43,34
"Petrimonas sulfuriphila",91,0,112,0,0,0
"Dysgonomonas sp. HDW5B",50,0,43,0,0,0
"Dysgonomonas sp. HDW5A",45,0,191,0,0,0
"Limibacterium fermenti",18,0,187,0,0,0
"Indolivaga capnocytophagoides",16,0,151,0,14,11
"Paludibacter propionicigenes",33,137,96,0,20,0
"Tenuifilum thalassicum",11,0,19,0,0,0
"Mangrovibacterium marinum",744,22,379,36,20,0
"Aquipluma nitroreducens",159,21,168,17,13,0
"uncultured Draconibacterium sp.",68,17,611,24,106,160
"Draconibacterium orientale",17,0,45,22,0,0
"Draconibacterium halophilum",13,0,84,118,21,0
"Maribellus comscasis",62,19,37,0,13,10
"Gaoshiqia hydrogeniformans",20,0,99,0,0,0
"Halosquirtibacter laminarini",12,0,31,0,0,0
"Marinifilum fragile",130,0,224,25,0,14
"Marinifilum sp.",30,0,0,20,11,0
"Xiashengella succiniciproducens",157,0,277,0,24,21
"Hymenobacter sp. NBH84",279,0,0,0,0,0
"Hymenobacter sp. PAMC 26628",158,0,57,37,17,35
"Hymenobacter sp. DG25A",97,0,47,0,0,0
"Hymenobacter sp. BRD128",69,0,0,0,0,0
"Hymenobacter sp. BT18",26,0,72,0,0,0
"Hymenobacter sp. GOD-10R",21,0,12,0,0,0
"Hymenobacter sp. 102",21,0,16,0,0,0
"Hymenobacter sp. DG25B",16,0,16,30,0,0
"Hymenobacter sp. 5317J-9",14,0,81,0,0,24
"Hymenobacter radiodurans",1609,0,1238,86,0,0
"Hymenobacter weizhouensis",347,0,146,0,0,34
"Hymenobacter nivis",200,57,109,0,0,0
"Hymenobacter tibetensis",88,0,47,0,0,11
"Hymenobacter baengnokdamensis",125,0,26,0,0,0
"Hymenobacter busanensis",60,0,141,0,0,0
"Hymenobacter volaticus",54,54,11,0,0,0
"Hymenobacter oligotrophus",55,0,83,0,0,0
"Hymenobacter cellulosivorans",44,0,18,44,0,0
"Hymenobacter aerilatus",19,0,45,0,0,0
"Hymenobacter jejuensis",16,48,135,14,0,0
"Hymenobacter sedentarius",16,0,58,0,0,23
"Hymenobacter qilianensis",15,0,0,0,0,17
"Hymenobacter swuensis",16,0,74,0,0,0
"Pontibacter actiniarum",339,0,154,0,0,0
"Pontibacter kalidii",144,0,327,25,0,16
"Pontibacter russatus",47,0,42,0,0,0
"Pontibacter sp. G13",20,10,0,0,0,12
"Pontibacter akesuensis",25,0,62,0,65,0
"Adhaeribacter radiodurans",161,0,44,11,0,18
"Dyadobacter pollutisoli",111,0,292,19,14,10
"Dyadobacter endophyticus",24,0,45,13,0,0
"Dyadobacter sp. 32",14,26,0,0,0,0
"Dyadobacter chenhuakuii",20,0,40,10,0,0
"Larkinella roseola",172,0,185,0,0,12
"Larkinella sp.",45,26,34,17,31,20
"Spirosoma sp. KCTC 42546",45,0,0,0,24,0
"Spirosoma sp. KUDC1026",23,0,0,0,0,0
"Spirosoma sp. SC4-14",23,0,0,0,0,0
"Spirosoma sp. KNUC1025",16,50,37,0,0,16
"Spirosoma taeanense",98,0,60,0,0,0
"Spirosoma oryzicola",30,0,0,0,0,0
"Spirosoma montaniterrae",29,0,68,0,17,12
"Spirosoma pollinicola",28,0,67,0,0,0
"Cytophaga hutchinsonii",25,0,0,0,0,0
"Emticicia sp. 21SJ11W-3",112,0,27,0,0,18
"Jiulongibacter sp. NS-SX5",38,0,33,0,0,0
"Algoriphagus halophytocola",37,0,48,0,0,0
"Algoriphagus sp. Y33",18,0,0,0,0,0
"Echinicola strongylocentroti",24,16,39,16,13,0
"Echinicola rosea",14,0,35,0,0,0
"Flammeovirga pectinis",83,40,72,0,0,0
"Rhodocytophaga rosea",71,0,73,11,0,0
"Ekhidna sp.",37,0,87,274,11,11
"Reichenbachiella agarivorans",22,0,0,0,0,0
"Roseivirga spongicola",20,0,0,0,0,0
"Chryseolinea soli",20,0,25,0,0,0
"Flavobacterium sp. N1719",76,84,0,0,214,219
"Flavobacterium sp. KACC 22758",276,0,170,0,0,0
"Flavobacterium sp. 25HG05S-40",65,0,42,0,0,0
"Flavobacterium sp. KBS0721",27,0,0,0,0,0
"Flavobacterium sp. N2820",16,0,23,38,19,0
"Flavobacterium sp. N2270",17,0,0,0,22,0
"Flavobacterium acetivorans",285,0,204,12,0,0
"Flavobacterium flavipigmentatum",72,0,28,0,15,17
"Flavobacterium gilvum",39,22,53,27,0,0
"Flavobacterium album",24,0,15,0,0,0
"Flavobacterium inviolabile",26,0,15,32,0,0
"Flavobacterium crassostreae",12,0,0,0,0,0
"Capnocytophaga sp. oral taxon 878",79,97,20,0,0,0
"Capnocytophaga sp. ARDL2",23,0,17,0,0,0
"Capnocytophaga gingivalis",76,0,0,0,0,0
"Aquimarina sp. BL5",124,0,0,22,15,0
"Aquimarina sp. ERC-38",16,0,0,0,0,0
"Aquimarina besae",28,0,44,0,34,0
"Flagellimonas sp.",117,0,95,30,30,34
"Muriicola soli",92,0,0,0,0,0
"Aequorivita ciconiae",62,0,0,0,0,0
"Aequorivita marisscotiae",22,0,24,0,0,0
"Gramella sp. MAR_2010_147",64,0,88,15,0,0
"Christiangramia forsetii",13,0,21,0,0,0
"Robiginitalea biformata",70,0,71,0,0,0
"Leeuwenhoekiella palythoae",15,0,0,0,0,0
"Polaribacter sp. KT 15",29,0,41,0,0,0
"Polaribacter haliotis",16,0,0,0,0,0
"Maribacter sp. R86514",17,0,0,0,0,0
"Myroides sp. JBRI-B21084",39,0,0,51,0,0
"Mariniflexile fucanivorans",29,0,0,0,16,0
"Cellulophaga omnivescoria",17,0,20,0,0,0
"Candidatus Arcticimaribacter forsetii",27,0,11,0,0,0
"Croceiramulus getboli",23,0,0,0,0,0
"Changchengzhania lutea",26,0,0,0,0,0
"Salegentibacter salegens",14,26,0,0,0,0
"Ornithobacterium rhinotracheale",747,72,418,18,33,0
"Chryseobacterium sp. T16E-39",33,0,0,0,0,0
"Chryseobacterium sp. S-02",32,0,0,0,0,0
"Chryseobacterium sp. G0162",23,0,0,0,0,0
"Chryseobacterium sp. JJR-5R",11,0,12,0,0,0
"Chryseobacterium oryzae",123,0,153,22,0,0
"Chryseobacterium arthrosphaerae",93,0,26,29,0,0
"Chryseobacterium indoltheticum",52,0,98,68,0,0
"Chryseobacterium camelliae",40,0,0,11,0,0
"Chryseobacterium indologenes",38,0,61,27,99,49
"Chryseobacterium oranimense",13,0,12,0,0,0
"Kaistella jeonii",71,0,26,0,0,0
"Candidatus Kaistella beijingensis",17,0,13,24,0,0
"Epilithonimonas sp. UC225_85",39,0,82,0,0,0
"Elizabethkingia anophelis",242,0,69,0,0,0
"Weeksella virosa",75,0,145,340,0,0
"Riemerella anatipestifer",33,0,165,20,22,0
"Cruoricaptor ignavus",17,29,0,0,0,28
"Blattabacterium cuenoti",87,33,328,102,54,100
"Candidatus Karelsulcia muelleri",14,0,31,12,57,0
"Pedobacter sp. AW1-32",385,0,189,21,0,0
"Pedobacter sp. AW31-3R",88,0,56,0,0,0
"Pedobacter sp. NJ-S-72",157,0,37,19,0,0
"Pedobacter sp. SL55",26,0,14,16,0,0
"Pedobacter suwonensis",670,0,117,0,0,0
"Pedobacter endophyticus",91,0,24,32,0,10
"Mucilaginibacter sp. CSA2-8R",80,0,64,0,0,0
"Mucilaginibacter sp.",52,0,37,0,0,13
"Mucilaginibacter sp. 5C4",30,0,122,0,0,0
"Mucilaginibacter sp. 14171R-50",21,0,0,0,0,0
"Mucilaginibacter sp. SMC90",21,0,26,0,20,0
"Mucilaginibacter sp. 21P",11,0,35,0,0,0
"Mucilaginibacter yixingensis",107,0,56,0,0,0
"Mucilaginibacter paludis",82,0,51,11,0,0
"Mucilaginibacter ginsenosidivorax",50,0,77,22,0,0
"Mucilaginibacter rubeus",51,0,0,0,0,0
